,StudentID,Content,ArgumentLevel,ReasoningLevel
0,GS_VJL711_Redacted,where z is the atom 's atomic number 𝜀 0 is the vacuum permittivity me is the electron 's mass and e is the charge of the electron if we divide eq 2.2 by eq 2 2.6 where v and t are potential the kinetic energy of electrons respectively 5 since the energy of a photon emitted by a hydrogen atom is given by the difference of two hydrogen energy levels where n and m are positive integers and n is greater than m. from the relationship between wavelength and frequency of a photon 𝜈 𝑐 𝜆 2.9 where c is the speed of light eq 6 can be rewritten as for hydrogen atom the atomic number z is 1. therefore the rydberg constant is defined as in this experiment we experimentally measured the rydberg constant if hydrogen gas is heated or electrically charged the electrons in the atoms are excited and the added energy pushes the electrons to higher energy orbitals when the electrons fall back to their original position the added energy is re-emitted in the form of photon and the wavelength of the photon is determined by the differnece in energy between the orbitals as shown in where m can be called the order number we set up the spectrometer as shown in fig 3.1 using a collimator a grating and a camera with a crosshair and ensured that they are in parallel the beam of photons from the light source is diffracted by the grating so we set the angular position of the camera when they are parallel as an origin and rotated it until a light fringe is observed then we measured the angle of diffraction by measuring the change in angle from the origin using a vernier we repeated this with as many other fringes as possible and statisticised the result to find the rydberg constant although the rydberg constant obtained from the experiment is reasonably close to the theoretical value the uncertainty of the constant is unacceptably huge and we found that there were various reasons that affected our value since the room was dark and it was hard to read the cramped numbers on the veriner the angle of diffraction could be measured imprecisely we concluded that this was the major factor that affected the inaccurate rydberg constant we found that the major uncertainty emerged in consequence of the wide slit size since this caused the thicker width of the light fringes this could be improved by using a narrow slit there could be various systematic errors that affected the result we tried to perfectly align the spectrometer but this could be unsuccessful also the position of the lamp should have been as close to the slit as possible since it is directly related to the intensity of the light this could make us see the cyan colour light the air pressure and humidity are also other sources but we decided that they are negligible there was background light which was inevitably required to measure the angle of diffraction we thought this could be the reason why the cyan colour of light and the 3 rd order light fringes of red and violet lights were not detected and tested without any light but we still could not see the lines in the experiment we tried to measure the rydberg constant using a hydrogen gas tube and a spectrometer and we got 𝑅 ∞ 10.5 × 10 6 ± 4.4 × 10 6 𝑚 −1 which is only 0.4 unit less than the theoretical value however we failed to obtain the precise value as our uncertainty is over 40 percent of our value and we concluded that the width of the slit was not narrow enough to produce the precise result this could be improved by repeating the experiment in a darker room with a narrower slit width and a clearer vernier as for reference this is the code that has been used for data analysis,extended,bal
1,GS_GXI055_Redacted,he aim of this experiment is to determine a value for the wavelength of the emission spectra of several different compounds this is done by burning the compounds using initially a candle but later on a butane blowtorch to excite the electrons to a higher energy shell which leads to them losing their energy in the form of a photon as they transition back down to a lower energy state the wavelength of this light is measured using a grating spectrometer the two compounds that we will be using are licl and cuso 4 these compounds were not the only ones that we attempted to determine the wavelength of however we could not excite the electrons with either the blowtorch or the candle so we did not find a value for the wavelength of these compounds the grating will measure the angle between the different slits of light from the emission spectra the experiment rests upon the idea that a diffraction grating will turn a beam of light of the same wavelength into several maxima and minima due to interference of the light waves from this and the knowledge of distance between the grating we can calculate the wavelength of the slits from which we can calculate which transition between orbitals the light represents when a compound is heated the electrons within the atoms of that compound are excited meaning they now have more energy consequently they will transition from a lower energy orbital to one of higher energy 3 the energy that the electron has absorbed is exactly equal to the energy of the higher orbital minus the energy of the lower orbital eventually the electrons de-excite meaning that they transition back to a lower energy orbital they then release the excess energy as a photon of light with a wavelength 𝜆 corresponding to that energy this is expressed in equation 2.1 as well as being shown in figure 1. where h is planck 's constant and c is the speed of light in m/s the energies of the higher energy orbital and the lower energy orbital are specific to the compound meaning that specific wavelengths will be observed from the emission spectra of different compounds the diffraction grating is made up of a large number of narrow slits that are equally spaced it has n slits with a slit separation d 5 a maxima will occur when the phase difference between two adjacent rays is 2𝜋𝑚 with m being determining wavelength of emission spectra using a grating spectrometer t an integer representing the order of the slit consequently we have equation 2.2. as path difference is equal to 𝑑𝑠𝑖𝑛 𝜃 where 𝜃 is the angle between the central maxima and the maxima we are measuring we arrive at equation 2.3. 𝑑𝑠𝑖𝑛 𝜃 𝑚𝜆 2.3 this equation allows us to relate the angle of the maxima to the wavelength of the emission spectra the maxima and minima are shown in figure 2 6 the maximum number of orders produced is found when we take 𝜃 𝜋 2 this is because the largest diffraction angle that we can have from a grating that is perpendicular to the light ray is use si for all units we set up the equipment as shown in figure 3. we had a choice of several diffraction gratings with different quantities of lines per mm we decided to use the lowest lines per mm diffraction grating of 78.8 lines per mm this is because this grating will produce the slits as closes as we can get them this is because for this grating d is the highest value if we look at equation 2.3 we can see that this will give us a smaller value of 𝜃 for a given value of m. equation 2.4 shows us that for this bigger value of d we will have a larger number of orders m that will be visible the light comes from the burning compound it then passes through the narrow slit after which it is made parallel by the collimating lens the parallel light then hits the grating at normal incidence where it is diffracted this light is then focused by the camera lens onto the crosshair at the point x. the eyepiece can be used to view the magnified image we made sure to adjust the slit and the end of the collimator to ensure that all of the diffraction slits were thin meaning that it is easier to determine their angle from the central fringe this also helped ensure that the excess light not from the compound was more easily distinguishable from the fringes we decided not to take too much time making sure the central fringe was at 0 degrees instead we took the value that the central fringe was at and then subtracted this from all of the measurements to essentially make this the zero point this method is just as precise as calibrating the spectrometer to 0 degrees this was done in order to save time so that we could take more measurements this process is shown in appendix a and b. measurements were taken by looking through the eyepiece and lining up the lens to align with one of the slits we then used the protractor attached to the side of the spectrometer to measure the angle that the lens was at this is then repeated for all of the slits that were visible to us in order for the slits to be easily distinguished we did the experiment in almost complete darkness in order to produce the emission spectra that we need to carry out the experiment we had to burn the compound we were initially instructed to use a candle to burn the compound and produce the light when this method was tried however we encountered a few problems the first was that the candle flame did n't appear to be hot enough 8 to produce the number of photons needed to make the measurements the second problem was if any photons were being produced they were not noticeable due to the large amount of light produced from the candle itself to alleviate this issue we decided to use a butane blowtorch as it is much hotter than a candle flame 9 as well as the flame being less bright in order to use the blowtorch we placed the compound into a metal bowl with some candle wax inside the wax was there as we found that the compounds burned much brighter when they were mixed with the wax making it easier to carry out our experiment we then aimed the torch downwards towards the compound as it was turned on this produced lots of coloured light which we were able to analyse through the eyepiece these measurements had to be taken relatively quickly as we found that if the compound burned for too long the candle wax would start to boil spitting at us therefore making it unsafe to work the data that we gathered from the method is summarised in table 1 and table 2. we observed the light from the licl to be red and the light from the cuso 4 to be green. this was all done in python for this reason we took the sine of all the values we had recorded then plotted this data against m on a graph as is shown in figures 4 and 5. the error bars were a combination of the errors due to the equipment added to the error due to the width of the slit meaning the angle measurement had a range these errors were added in quadrature for fig 4 we have a gradient of 0.05637. this was calculated in python by using the polyfit function that is part of the scipy package using the covariance matrix in python we calculated that the uncertainty in the graph was ±0.0005044 this uncertainty is very small in relation to the value for the gradient this is because the points on the graph all give a very similar value for wavelength so they all line up on the graph using equation 4.1 we can see that in order to find the wavelength we multiply the value for the gradient by the distance in between each line on the grating as the grating had 78.8 lines per mm we calculated that the distance between each slit is 0.0000127m we can multiply this by the gradient to find that the wavelength for photons emitted from licl to be 6.82 × 10 −7 ± 8 × 10 −9 m. it is obvious that the error in cuso 4 is bigger than the error in licl this is partially due to having less data points for the cuso 4 than the licl this is because the after the 1 st order maxima the 2 nd order maxima were too faint to be distinguished from the background light which was mainly being produced by the blowtorch from doing this experiment we noticed several areas for improvement both the candle and the blowtorch both gave wide spectra from their own light consequently the slits of light were much less well defined meaning that it was much more difficult to measure the angle another issue was that due to having to use a small aluminium container with wax in it meant we could only burn the compound for a short amount of time after a short duration of the blow torch being on the container would start to melt this is due to the melting point of aluminium being lower than the temperature of the torch 10 the setup we used also meant that the light tended to flicker as we were heating the compound this also made it far more difficult to take precise measurements in order to solve all of these problems if we were to repeat the experiment we would use the following setup to heat the compound a bunsen burner would be setup and set to a blue flame a metal scalpel would be used to scoop up the compound and place it into the flame releasing photons this means we would only have to stop each measurement when all of the compound is burned this is a definite improvement as we would have a consistent way to burn the compound getting rid of some of the flickering that we previously experienced it will also mean that we would have longer to take our measurements for the angle meaning that our values will likely be more accurate as we will not have to rush in conclusion the value of the wavelength for photons emitted from licl is 𝜆 682 × 10 −7 ± 800 × 10 −7 m the value for the wavelength of the photons emitted from cuso 4 is 𝜆 5.43 × 10 −7 ± 4.5 × 10 −8 m neither of the values for the wavelength that we have determined through our experiment agree with the accepted values for wavelength of the photons emitted from the compounds there is a percentage difference of 3 for licl and 11 for cuso 4 from the accepted values in order to gain more accurate values for the wavelengths we would repeat the experiment again making the changes that i suggested in part v of this report,extended,the
2,GS_NGT657_Redacted,the rydberg constant is one of the most important constants in atomic physics due to its relation to other fundamental constants and because of the high levels of accuracy to which it is possible to determine its value this experiment aimed to use a grating spectrometer to accurately measure this constant by observing the emission spectrum produced by a hydrogen discharge lamp and measuring the diffraction angles of the different spectral lines using these to calculate their wavelengths and then rydberg 's constant using the rydberg formula the value achieved by this method was 11030000 m -1 with an uncertainty of ± 4000 m -1 this places the result 14 σ away from the accepted value of 10973731 m -1 hen excited to higher energy states all atoms produce emission spectra due to the transitions of the atom 's electrons from higher to lower energy levels emitting energetic photons as they do so these spectra are unique to every element in accordance with the unique energy levels available to the electrons for occupation 1 studying these spectral lines has had an impact on a wide range of areas in physics observing their positions allows us to measure the distance and relative velocities of distant galaxies or the elemental composition of stars 2 developing both the theoretical understanding of these spectra and the methods to measure them then has been instrumental in progressing scientific theories and knowledge of our universe central to this theoretical appreciation of atomic spectra is the rydberg constant this constant describes the wavelengths of light in the atomic spectra relating them to the transitions of electrons resulting in the photon 's emission although discovered by balmer and rydberg empirically it was the theoretical work by bohr which followed that gave rydberg 's constant its real significance bohr proved that the constant was in fact a fundamental one by expressing it in terms of other atomic fundamentals see the next section -theory 3 amongst these constants is the fine structure constant α. this relation has lead to the rydberg constant having great importance in the field of quantum electrodynamics or qed the fine structure constant is central to qed as it is a measure of the electromagnetic coupling strength at low energies 4 the rydberg constant can be determined with an extremely high level of accuracy 3 and as such enables greater calculation of other fundamental constants especially in this case α. calculating constants to higher degrees of accuracy is often the best test for theories as has been the case for qed and allows much greater theoretical predictions as such due to progress made measuring rydberg 's constant qed is often considered the most accurate theory in modern science 5 this experiment aims to determine the value of rydberg 's constant using grating spectroscopic methods the setup results and error analysis are all presented as well as a critical analysis of the method and potential improvements a grating can be considered a large number of small equally spaced slits with a separation d. light passing through a grating forms a diffraction pattern of maxima if the wavelength of the light is λ maxima occur where the phase difference between light waves coming from the different slits is an integer m of 2π at this point the waves are in phase at the same relative positions in their oscillatory cycles and constructive interference occurs in other words the light waves sum to produce brighter patches the path difference between two waves is the physical difference in distance that the waves have travelled and is given by dsinθ as shown in figure 1 where θ is the angle the light makes with the grating the phase difference can be defined in terms of the path difference as therefore by substituting the requirements for the phase difference and the result found for the path difference and hence this is known as the grating equation unlike with simple two slit interference patterns the greater number of slits in a grating means that the maxima are much more distinct and separated by larger areas of darkness at all points other than determining rydberg 's constant by observing the emission spectrum of a hydrogen discharge lamp using a grating spectrometer w 3 the collimator was then focused so that a clear image is visible on the cross hair of the eyepiece in the telescope a minimum slit width was used to make sure the focus was good as larger beams have less defined edges making identifying the point of focus more difficult the telescope was lined up with the beam accurately using the fine motion knobs the value read on the vernier scale at this position was recorded as this was the zero position about which other measurements were referenced the telescope was then rotated exactly 90° measured using the vernier scale before placing a grating of 80 lines mm -1 in the holder the grating table was rotated so that a reflected image of the light beam was visible and aligned in the telescopeindicating a rotation of the grating of exactly 45° using the scale the grating was then rotated 45° these steps ensure the grating is accurately set at an angle of 0° or normal to the collimator the sodium lamp was swapped for the hydrogen lamp being used to take measurements the lamp was placed as close to the slit at the end of the collimator as possible to reduce the amount of background light entering the system as possible the experiment was conducted in a dark laboratory however the lamps of colleagues could still provide external light which had the potential to interfere with the diffraction patterns and the spectrum observed it was decided that both students would take measurements of the positions of the maxima as this would help identify the human differences in reading the vernier scale and account for them in a statistical error four sets of readings were taken in total the telescope was moved around the grating bed aligned with the spectral line accurately using the fine motion knobs on the bed and the angle was read off the vernier scale in order to calculate the value of θ as labelled in figure 2 the zero position reading was subtracted from the reading on the scale at the position of the line the angular positions were recorded as a function of order for each of the three different coloured spectral lines visible red blue and violet because hydrogen lamps overheat and reduce in efficiency after extended use the discharge lamp was turned on whilst the telescope was moved into position and secured and then turned off whilst the reading was taken from the vernier scale this prevented the lamp from overheating and having to wait for it to cool there were some difficulties in accurately aligning the telescope with the centre of the higher order maxima due to how faint they were in order to try and overcome this shields were used to block out as much background light as possible from the entire setup to provide a greater contrast between the spectral lines and the dark background reducing the error repeating the readings also aimed to reduce the effect of this error in the case of the violet lines the third order maxima were not always possible to see the experiment was completed over two weeks and during the first session the negative third order was not visible and in the second session the positive third order was not visible this was despite all conditions and equipment being maintained as similar as possible this did mean that some data was collected for both positive and negative higher orders however only two readings were made rather than the four achieved for the rest of the colours and orders before taking results the slit width on the collimator was adjusted so that higher order maxima in the diffraction pattern were visible by widening the slit and allowing more light to pass through however the slit could not be so wide that the beams were too large and undefined as this would add uncertainty to the measurement of their positions at this point the diffraction grating was changed from 80 lines per mm to 300 lines per mm as by considering equation 3 it is clear that a smaller gap between lines a smaller value of d leads to a larger angle between orders as both m and λ remain constant the effect of this is to reduce the relative error in the measurement of the positions the graph below shows the averages of the data collected for each colour line at each order where negative orders and angles correspond to those in the direction defined previously the error bars included on the plot have been calculated using the ranges of the data discussion of why this method was chosen follows later the error bars proved so small they are unclear on figure 3 so an example point is shown in figure 4. linear trend lines have been calculated using the least squares method weighted by the inverse of the error of each data point and plotted on the graph as can be seen from 3 the gradient of a line is 𝜆 𝑑 where d is known to be 3.33 × 10 −6 therefore the wavelengths corresponding to the light forming the three different spectral lines can be found these were found to be 653nm for red 483nm for blue and 432nm for the violet line using external resources 7 these wavelengths were related to the electron transitions producing these photons so the values of n in equation 4 were known the value of p is known to be 2 as this defines the balmer series therefore substituting in the related values of λ and n provides three values of the rydberg constant the mean average of these was taken to produce the final result of 11030000 m -1 figure 3 -the sine of the angle to different order diffraction maxima for the red blue and violet spectral lines from 3 the gradients of the lines are 𝜆 𝑑 and the wavelengths of the spectral lines were found to be 653nm 483nm and 432nm respectively orders e.g +1 and -1 +2 and -2 etc and checked that they were exactly the same as they should be if the grating is perfectly orthogonal to the incident light despite the angles in the results being similar they could have been even more accurate and this may have reduced the inaccuracy of the experiment there were other factors in the laboratory that were uncontrollable and would have had an effect on the accuracy of the experiment the air conditions such as pressure temperature and importantly how they vary were not strictly controlled beyond the fact that the experiment was completed in the same lab for the two sessions varying pressure and temperature result in a changing refractive index of the air which affects the path of the light travelling through it and would change the angles recorded 8 although this effect was considered to be too small to have a significant effect during the practical procedure if the setup could be modified to be conducted in a vacuum any potential effects from the air would be removed,deep,bal
3,GS_HHM124_Redacted,in this experiment a grating spectrometer was used to study the emission spectrum of hydrogen the apparatus was already assembled my lab partner and i only had to do the calibration the diffraction grating in the experiment had 300 lines per millimeter by analyzing the data for interference lines of each colour separately one can find its wavelength by relating the found wavelengths to the appropriate changes in energy levels it is possible to find the rydberg constant using this method it was found that the value of the constant is 1.099 × 10 7 ± 2 × 10 4 𝑚 −1 the only greater problem in this experiment was that there was probably light coming from an outside source which we failed to distinguish from the hydrogen spectrum when measurements were taken the main aim of this experiment was to obtain the rydberg constant while also learning how to use a grating spectrometer with the use of a spectrometer one can study the spectrum of light 1 this allows us to thereby deduce some properties of luminous objects or substances a grating spectrometer disperses light with a grating in which the slits are equally separated this produces an interference pattern which depends on the wavelengths of the dispersed light and on the distance between the several slits in this experiment a grating spectrometer was used to study the emission spectrum of hydrogen the observed interference pattern allowed us to deduce the wavelengths of photons which were produced by different transitions between energy levels in the hydrogen atom by relating the wavelengths to the appropriate transitions one can derive the rydberg constant and its uncertainty the grating is made of many slits which create an interference pattern for light of wavelength  the constructive interferences will occur at 1 where 𝛩 is the angle at which the interference line is observed d is the distance between the slits and m is the order number an integer by finding several angles at which interference occurs we can therefore accurately find also the wavelength of light furthermore the mentioned wavelength depends on the energy of the photon which is also the energy released by an atom making a transition from one energy level to another the wavelength is related to the transition between energy levels by the rydberg equation 1 where r ∞ is rydberg 's constant n is the initial energy level and p is the final energy level in our experiment we could only observe visible light which is part of the balmer series the balmer series is known to be created when atoms drop down to the second energy level from any higher energy level 1 hence we know that p will always be 2 for our cases the n related to each wavelength will be guessed by using our previous knowledge of how the colour of observed light is connected to the energy carried by photons by using 1 to find the wavelengths and then substituting them into 2 while making reasonable guesses of n we can therefore derive the rydberg constant the grating spectrometer we used consists of a collimator a table with a grating holder a camera and an eyepiece although we were given a functioning grating spectrometer my lab partner and i had to calibrate the instrument during calibration we used a sodium lamp as the light source since the hydrogen lamp overheats quickly we focused the eyepiece at a convenient viewing distance to minimize eye strain both my lab partner and i had to agree on the calibration since we wanted to take measurements independently crosschecking our data and thereby making sure that we did not make a mistake while reading the angle on the scale or aligning interference lines with the cross wire in the eyepiece then we had to focus the camera lens on a point far away since the light from our source is collimated similar to light from a distant object this was done by pointing the camera across the room the object that we pointed it at was approximately 15 meters away and focusing it in such a way that there was no parallax between the seen image and the cross wire the camera had to point directly at the collimator to achieve this the camera was rotated by 90 degrees so that it was at a right angle with respect to the collimator a mirror was placed in the holder for the grating slight adjustments were made to position of the mirror until the reflected light was aligned with the cross wire this meant that the mirror was forming an angle of 45 degrees with both the collimator orientation and the camera orientation by rotating the camera back by 90 degrees and the table with the holder by 45 degrees the camera was pointing directly at the collimator and the grating would be perpendicular to their orientation the mentioned parts were then clamped into position we also had to set the right height of the grating by taking a quick look at the interference lines we noticed that the ones at greater angles were dimmer and were above the centre of the cross wire we used three screws in the table to adjust the height and orientation the table could be tilted because there were three screws so that the grating was not tilted and we could clearly see all the interference lines when the setup was complete the sodium lamp was replaced with the hydrogen lamp and we started taking measurements a grating with 300 slits per mm was used in table 1 we can see all the interference lines at what angles they occurred and their colours we initially estimated the errors for each measurement based on the difference between our recordings and the width of the interference line which was approximately 2 arcminutes most of the errors were in the range of 3 to 6 arcminutes however there were some measurements were the uncertainty range did not cover the same values as the measurement on the opposite side with the opposite order number since this indicated that the error estimation had to be too small i decided to increase the error associated with the two measurements these errors got larger than i hoped but fortunately there were at least three measurements for each colour that were quite accurate because the wavelength was calculated from the slope of the graph the error of the wavelength was not too large since the accurate measurements determined the slope to a great extent the wavelength of each colour was determined by plotting a sin θ versus order number m. the error of sin θ was obtained by using the fact that at first i plotted the sin θ versus order number lines for all the colours on the same graph in python fig 2 but i also wanted to find the uncertainties of each slope since this is rather inconvenient in python i decided to use logger pro to find the minimum and maximum slopes this method is shown in appendix a. from 1 we can deduce that where k is the slope of the graph for one of the colours 𝜆 is the wavelength of light of that colour and d the distance between two slits the diffraction grating used in our experiment had 300 slits per millimeter with no uncertainty stated i estimated it to be 0.5 of a slit per millimeter since otherwise the grating would have a different slit per unit length number stated on it 2 we can see that all the wavelengths match the true values except the wavelength for green light does not but there is a slight deviation of the mean values this might be due to systematic errors most noticeable is the fact that the central line is not at exactly 0 degrees but at 3 arcminutes this indicates that the diffraction grating is not perfectly perpendicular although the angle by which it is deviated is small this could have caused a greater change in the angles at which the interference patterns occur the green colour is not even close to any of the wavelengths in the hydrogen emission spectrum and there are also quite large deviations of the data points from the best fit line most likely causes for its occurrence is that there is another element with hydrogen in the same lamp or that it occurred because of another light source i am more inclined towards the latter explanation because it also explains why the uncertainties were so large if light is not coming perpendicular to the grating the pattern will not be described perfectly by 1 from the wavelengths obtained in table 2 it is possible to calculate the rydberg constant since it was already explained that the green colour wavelength does not match any of the values from literature it will not be used to obtain rydberg 's constant the other three wavelengths will be used and we can expect to obtain very accurate values since the wavelengths were also found to be accurate the final energy level in each case is 2 since all the emission lines are part of the balmer series furthermore the initial energy levels for each wavelength will be guessed based on the fact that the energy of a photon is inverse proportional to the wavelength for example red light has the largest wavelength hence it was produced by the lowest energy transition where the initial energy state is 3. blue light has slightly more energy hence the initial state is 4 and in the case of purple light the initial energy state is 5. equation 2 can be rearranged to obtain the rydberg constant i decided to write down the values for the constant to 9 significant figures since they will be used together to get the final result by taking the average of the three values for each colour we obtain the following result 𝑅 ∞ 10986233.4 ± 17863.9 𝑚 −1 ≅ 1.099 × 10 7 ± 2 × 10 4 𝑚 −1 6 the value of the constant found in literature is 𝑅 ∞ 10973731.6 𝑚 −1 2 the obtained value for the rydberg constant has the value from literature included in its uncertainty range we can conclude that the experimental procedure was appropriate and the error estimations were reasonable the aim of this experiment was to obtain the value of rydberg 's constant the experimental procedure was quite good because we have obtained an accurate value for the constant but there are still some possibilities for improvement we should have definitely checked that we have observed the right colours since it turned out that one of the observed ones was not coming from hydrogen this was not a huge problem since the constant could still be derived from other colours furthermore we could have also minimized other errors we could have repeated the calibration until the central interference line would be at exactly 0 degrees because probably then we would have also seen smaller differences between the measurements on opposite sides the error on the distance between two slits is also probably an overestimation one way to lower it would be two use light with known wavelength find its interference patter and calculate the distance between two slits with the associated uncertainty the greatest strength of the data analysis for this experiment in my opinion was using the sine of angle versus order number graph because it really helped to lower the uncertainty in the slope and consequently in the rydberg constant appendix a estimating the uncertainties of slopes although the determination of uncertainties of slopes is of central importance i decided to put in into in the appendix because it takes a large amount of space logger pro was used to determine the uncertainties in slopes at first all the data points with uncertainties were plotted by using the `` model '' function under the `` analyze '' tab i was able to create an arbitrary best fit line and change its slope to see what are the greatest and lowest slopes that could be plotted through the error bars,expert,bal
4,GS_BSS023_Redacted,"the aim of this experiment was to provide a calculation for rydberg 's constant by using the emission lines of hydrogen by observing red and aqua emission lines the expected transition level for each and using the spectrometer equation we were able to obtain two very close values for rydberg 's constant and establish a final value and uncertainty for the red emission lines we obtained a value of 𝟏𝟎 𝟕𝟕𝟐𝟏𝟑𝟒 ± 𝟎 𝟎𝟐𝟗𝟗𝟒𝟎 × 𝟏𝟎 𝟔 𝒎 −𝟏 and for the aqua emission lines we obtained 𝟏𝟎 𝟕𝟗𝟒𝟐𝟖𝟎 ± 𝟎 𝟎𝟐𝟑𝟕𝟏𝟗 × 𝟏𝟎 𝟔 𝒎 −𝟏 .the percentage errors are 0.28 and 0.22 respectively though neither value is within 𝝈 of the generally-accepted value for 𝑹 ∞ i. ascertaining the elemental makeup of objects is an important task in both research and industrial applications thus if we were able to determine this composition by the emission or absorption spectra of objects we would have a non-invasive technique to determine their makeup rydberg 's constant enables us to make predictions as to the constituent elements of objects based just on their emission spectrum and its value is therefore an important experimental quantity to be determined calculating rydberg 's constant enables us to reliably determine the expected emission spectra of different materials and hence employ physical methods in order to nondestructively determine the chemical composition of different compounds we can also employ such techniques to successfully determine the composition of otherwiseinaccessible objects such as stars 2 in order to determine rydberg 's constant 𝑅 ∞ we use a grating spectrometer first we experimentally determine the wavelengths of hydrogen 's emission lines using the grating equation we then experimentally determine the value of 𝑅 ∞ an atom is composed of a nucleus and an electronic shell depending on the element the atom can have multiple layers on its electronic shell each with a quantized energy level this means that electrons can not occupy energy states in between those levels however when an atom is excited i.e when energy is imparted upon it its electrons can gain enough energy to transition to a level farther away from the nucleus afterward they will transition back to their original energy level and in the process release a photon of energy level equivalent to the energy difference energy gap between the electron 's transition levels these emitted photons constitute the atom 's emission spectrum we use rydberg 's constant to predict what sort of photons i.e predict their wavelength and energy a certain element 's spectrum will consist of 2 the grating spectrometer uses a grating with 𝑁 slits to disperse incident light the light which passes through the grating will be deflected at an angle 𝜃 and will suffer from constructive and destructive interference due to their change in phase which will in turn create a certain interference pattern according to theory this interference pattern will roughly resemble a succession of peaks and valleys the phase difference between neighbouring rays is given by 1 the valleys of the pattern correspond to the minima of interference which occur for 𝑁 slits when the peaks of this interference pattern correspond to the maxima of interference which occur when the phase difference is an integer multiple of 2n 1 c/ 2nm 2nm 2 dsin 0 5 according to theoretical expectations we would expect any transition photon to obey the relation 6 where n and p are the numbers of the initial and final energy states of the atom equation 6 allows us to obtain an experimental value for rex given that we know the other quantities for our experiment p 2 in all cases while n 3 for red light and n 4 for aqua light 4 in order to obtain j we can use the grating equation 1 where j is the w avelength of the spectral line d is the distance between two slits in our diffraction grating e is the angle at which an interference maximum occurs and m is the corresponding order number the order number is an integer quantity and for the i th line of a specific colour observed after rotating the grating clockwise or anti-clockwise from the defined starting position i m thus m can take both negative and positive values according to equation 7 if we plot sin 0 as a function of m we should obtain a linear plot from whose gradient we can extract j and calculate its associated error namely the gradient from we then use the covariance matrix our number of samples is large enough to use this method to find the uncertainty of this parameter r which we will call ay thus we obtain -from which we find 11 from equation 6 we find from this w e find the uncertainty in our value for r 00 our final result will be in the form before performing the experiment we had to calibrate the spectrometer so as to achieve a good resolution defined as the resolving power at which both my lab partner and i were able to easily observe two given sets of spectral emission lines the process was performed using a sodium lamp since it did not run the risk of burning out and consisted of the diffraction grating we used had 77.8 slits per millimetre and we found it to be best in achieving a good resolution in the spectrometer the actual experiment was done using a hydrogen lamp which allowed us to observe hydrogen 's spectral emission lines for increased accuracy the device used to measure the angle included a vernier scale so we were able to measure our results with ½ arcminute precision after establishing the 0 𝑡ℎ order number we rotated the optical device clockwise and anticlockwise recording the angle of diffraction and the order number we then processed the data computationally creating a line of best fit between the order number and the sine of the diffraction angle our experimental results confirm the expectation of the linear relationship between the order number and the sine of the angle at which interference maxima occur as is evident from the figures below however when plotting the residuals obtained when we subtract the expected values from the real values a nonlinear trend is observed which points to systematic errors occurring in our experimental setup therefore for the red and aqua maxima we obtain the percentage error on these values is 0.28 and 0.22 for red and aqua respectively which implies high statistical accuracy derived from the large sample base and low overall random error the random error which does exist is likely due to not reading the middle of the emission line accurately statistical error could be even further reduced by systematically building an even larger database of measurements nevertheless our experimental ranges do not coincide or include the expected theoretical value for rydberg 's constant 3 𝑅 ∞ 10,973,731.6 𝑚 −1 10.9737316 × 10 6 𝑚 −1 this is likely due to systematic error affecting the experiment some sources of systematic error likely include misalignment of the optical piece tiny differences in air pressure and temperature cause slight changes in the behaviour of the space through which light passes thereby introducing small errors in our readings improving the experiment would require more stringent conditions for performing it firstly the room in which the experiment was performed was not dark and might have caused us to miss some of the maxima associated with higher order numbers as these were less visible when parasitic light upset the experimental setup moreover repeating the experiment several times would help improve confidence in the results an improved setup and procedure would be instead of using a manual rotating mechanism use a mechanical rotator and measure the angles of the emission maxima using a digital instrument write a program which can recognize the colour and order number of the emission maxima and thus build a digital database with reliable and highly precise measurements look to quantify systematic error from optical piece misalignment and the aforementioned differences in air pressure and temperature by means of a different experiment so as to get a proper margin of error using a grating spectrometer we were able to precisely measure rydberg 's constant while thanks to the number of samples and thorough experimental procedure the statistical random error on our results is very small as outlined in the previous section comparison with the generally accepted value for rydberg 's constant reveals that we have not measured it to an adequate level of accuracy this is due to the errors discussed above nonetheless having the value for rydberg 's constant enables us to perform theoretical research as well as to apply our knowledge to practical applications in research spectroscopy can be used to determine the composition of stars and other light-emitting objects in industrial applications spectroscopy can be used to non-destructively determine the exact chemical composition of materials used in industrial applications these applications thus enable us to check assumptions made in scientific research and theory as well as to aid in practical industrial development appendix i includes the table of values used for determining the fits present heretofore and for the uncertainties obtained this is to acknowledge the help in performing the experiment offered by my lab partner",expert,the
