,,,EXTREME TOPIC VALUES,,,,,,,,,,YEAR 1,,,,,,,,,,,,,,,,Ab,,,,
,,YEAR 1 -> low topic 0 - high topic 1,,,,,,,,,,Topic 0,"0.027*""value"" + 0.023*""error"" + 0.021*""line"" + 0.019*""wavelength"" + 0.019*""constant"" + 0.016*""grate"" + 0.013*""calculate"" + 0.010*""experiment"" + 0.010*""energy"" + 0.010*""light""'),",,,,,,,,,,,,,,,,"experiment, calculate, error, value ",,,,Error analysis
,StudentID,Content,ArgumentLevel,ReasoningLevel,GS percent,0,1,,Features ,,,Topic 1,"0.025*""light"" + 0.024*""line"" + 0.021*""wavelength"" + 0.020*""constant"" + 0.019*""value"" + 0.016*""energy"" + 0.015*""order"" + 0.015*""grate"" + 0.014*""error"" + 0.012*""diffraction""')]",,,,,,,,,,,,,,,,"diffraction, order, light",,,,Theorectical knowelege
1,GS_MOX979_Redacted,pectroscopy be the study of the spectrum of light and how it change a light interacts with matter a spectrometer be a piece of equipment that allows for the study of spectrum by splitting light base on it wavelength when spectrum be study wavelength intensity and other property of the light beam be measure these property can give insight into anything the light have interact with before enter the spectrometer spectroscopy be use in the study of thing a small a electron to a large a star and be therefore one of the most important field of experimental physic 1 in this report the technique of spectroscopy be employ to check for the presence of the element hydrogen lithium copper and sodium in the sun 's atmosphere establish the chemical composition of star be important a it hold the key to understand star formation prove that this technique work for the sun 's atmosphere open the door for use of the technique on other star or any extrasolar entity that emits a continuous spectrum this could help far the understand of the formation of the universe to find out if one of the previously mention element be present in the sun 's atmosphere the element emission spectrum be first determine the grate spectrometer split light by wavelength and allow for the calculation of prominent wavelength the spectrum of hydrogen be obtain from a hydrogen lamp which excite hydrogen atom into emit light the sodium copper and lithium be all burn in salt form use a blowtorch the sodium and lithium be burn in their `` chloride `` salt form the chlorine require a lot more energy than the blowtorch to emit light and so the spectrum obtain be purely from the metal the same be true for the copper which be burn in it `` sulphate `` form once the spectrum of hydrogen sodium copper and lithium have be determine they be compare to the fraunhofer line these be give to the student by the lab assistant 3 the fraunhofer line be first note in 1802 by wollaston 3 in 1814 fraunhofer who the line be name after start work to determine the wavelength of the line which he label from letter a to k. these line be show in table i. forty-five year after the discovery of the fraunhofer line it be found by kirchoff and bunsen that the line coincide with the emission spectrum of element they theorise that since the light from the sun originates from fusion reaction in it core it must pa through the atmosphere where some wavelength be absorbed by element such a hydrogen this process be discus far in part b of section ii the theory section of this report this process be what cause the dark line to appear in the spectrum of the sun when view from the earth the grate spectrometer investigate fraunhofer line s the diffraction grate produce point of constructive and destructive interference at angle base on the wavelength of the light diffract through the grate a diagram of light travel through a grate can be see in fig 1. note that for an actual grate there be many more beam of light than the two show in fig 1. however by symmetry the light will interfere constructively at the same angle for all beam therefore this diagram can be use to determine the relationship between angle and wavelength a can be see in fig 1 the upper beam will travel a great optical path length than the low beam from trigonometry it can be see that this path difference will be equal to the slit separation multiply by the sine of the diffraction angle for constructive interference the optical path difference must be equal to an integer number of wavelength this give the relationship between the angle for constructive interference and the wavelength of light passing through the grate 𝑚𝜆 𝑑 sin 𝜃 1 where 𝜆 be the wavelength in metre 𝑑 be the slit separation in metre this be give by the grate use 𝑚 be the order of the peak 0 for central maximum and then numbered a 1 2 3 … a 𝜃 increase and 𝜃 be the angle with the normal for that peak where constructive interference occurs to calculate the wavelength experimentally the sine of the angle which cause constructive interference can be measure for several peak the angle can then be plot against their peak 's order m the gradient of this relationship will be equal to wavelength divide by the slit separation this give the relationship 2 from 2 we can obtain 𝜆 experimentally use 𝜆 𝑑 × 𝑑 sin 𝜃 𝑑𝑚 3 provide we measure the angle of diffraction at several peak quantum mechanic tell u that an electron can only exist around an atom at certain radius these radius correspond to specific energy the low energy radius be closer to the nucleus of atom for an electron to transition between these energy level it must receive or lose all the energy instantaneously when this happens the electron usually emits or absorbs light a see in fig 2. the energy gap between orbitals vary from element to element this mean that the set of energy require to promote or demote electron in an element be unique to that element from the planck-einstein equation it be know that 𝐸 ℎ𝜈 4 where 𝐸 be the energy of a light wave in joule 𝜈 be the frequency of the light wave in hertz and ℎ be planck 's constant which be approximately 6.63 × 10 −34 𝐽 • 𝑠 from 4 it can be deduce that the wavelength of the light emit or absorbed by an electron be give by 5 where δ𝐸 be the energy difference between the two energy level and c be the speed of light which be approximately 3 × 10 8 𝑚 • 𝑠 −1 it follow from 5 that if every element have a unique set of energy gap then every element will emit and absorb a unique set of wavelength this mean that when electron in atom be demote they will emit light of specific wavelength this be know a an element 's emission spectrum an element 's absorption spectrum can be found by passing a continuous light spectrum through atom of say element the wavelength correspond to energy gap in the atom will be absorbed by the electron this leaf narrow band of low intensity in the result spectrum an element 's absorption and emission spectrum be complementary meaning that the band of low intensity in the absorption spectrum correspond to the band of emit light in the emission spectrum fig 2. two electron be demote to low energy level the energy lose be emit a electromagnetic radiation 1 iii experimental set up fig 3 show the basic part of the grate spectrometer use the spectrometer use for this experiment be the `` pasco sp-9268a `` 2 the grate employ have 2001 line per inch or around 78.78lines per mm 1 this give a slit separation of approximately 1.269 × 10 −5 𝑚. the main angle scale be comprise of separation of half a degree and the vernier read in arc minute to set up the apparatus for this experiment the grate be remove from the holder the eyepiece be then focus onto the crosshair such that it appear on an image 5-10m from the camera this be do in order to reduce eye strain a light source be then pas through the slit the camera be rotate such that the beam of light be centre on the crosshair the collimator be then focus so that a sharp image of the slit appear in the eyepiece the camera 's angle be adjust after focus to ensure that the crosshair be centre on the slit the holder in the kit use could be regulate at any angle relative to the slit for this experiment the holder have to be parallel to the slit to ensure normal incidence on the grate to do this the angle scale be use to rotate the eyepiece 90 degree from the central beam a mirror be place in the grate holder and the turntable be adjust such that grate reflect light from the slit directly into the crosshair on the eyepiece a the camera and the slit be exactly perpendicular it be then know that the mirror and therefore the holder be exactly 45 degree from the beam the scale could then be use to rotate the turntable 45 degree and the telescope 90degrees so that the light take a normal path through the spectrometer the angle on the scale be take a the `` zero `` for the experiment to take reading the light be pas through the slit and the telescope could be rotate such that the crosshair appear on the centre of the slit the angle difference between the `` zero `` angle and the angle on the scale give the value of 𝜃 for that peak a hydrogen lamp be position in front of the slit to obtain the hydrogen alpha wavelength for the metal use a salt be burn next to the slit allow light to pa through the slit the blowtorch be use to burn the metal salt a it burn at very high temperature with little visible light emission when use the blowtorch safety glass be use and the flame be kept far away from any person the data in this experiment be handle in python by the `` scipy `` function `` polyfit `` the `` polyfit `` function allows for a weight factor to be inputted into the parameter for every data point therefore to obtain more accurate value in the gradient the reciprocal of the uncertainty be use a weight factor the uncertainty give in the gradient by python be take a the random error in the final value for the hydrogen lamp the data in table ii be obtain when the hydrogen lamp be place at the slit red and blue line be observe through the lens the red line correspond to the hydrogen- wavelength the error from the slit 's width and the parallax error be approximate to around 10 arc minute peak from m -6 to m 6 be visible through the eyepiece the data from table ii be plot in python to give the graph in fig 4. the gradient and error obtain from the `` polyfit `` function be 0.0519  0.0005. from 3 we find 𝜆 0.0519 × 1.269 × 10 −5 6 6.58 x 10^-7m fig 3. the grate spectrometer the light pas through the slit and then becomes parallel after passing through the collimator the grate the diffracts the light where it can be focus and view through the camera and eyepiece the diffraction angle can be read off the turntable if the camera/eyepiece be rotate such that the diffraction beam be centre on the crosshair the error in 𝜃 be take a √2 × 10′ ≈ 0.2357° this be due to the fact two measurement be use to calculate 𝜃. to calculate the error in the sine term the percentage error in the angle be multiply by the cosine of the angle this be use a a weight factor in the python calculation of gradient 𝜃 for m 0 have no error a it be define to be zero the percentage error be found to be approximately 0.94 this give an absolute error of around ±6𝑛𝑚 and result in a final wavelength of 𝜆 658 ± 6 𝑛𝑚 this value corresponds to fraunhofer line c which have a wavelength of 656.6nm this result be strong evidence for the presence of hydrogen in the atmosphere of the sun in order to more thoroughly check for the presence of hydrogen the wavelength of hydrogen- and hydrogen- could be determine if they be found in the fraunhofer line then this would prove to a much high certainty that the fraunhofer line be cause by light absorption from element in the sun 's atmosphere and that hydrogen be one of them for the sodium chloride salt the data in table iii be obtain when the sodium chloride be burn next to the slit orange line be see through the lens the error from the slit 's width and the parallax error be again approximate to around 10 arc minute peak from m -4 to m 4 be visible through the eyepiece the data from table iii be plot in python to give the graph in fig 5. the gradient and error obtain from the `` polyfit `` function be 0.0465  0.0003. from 3 we find 𝜆 0.0465 × 1.269 × 10 −5 7 5.90 x 10^-7m the percentage error be found to be approximately 0.71 this give an absolute error of around ±4𝑛𝑚 and result in a final wavelength of 𝜆 590 ± 4 𝑛𝑚 this value corresponds to fraunhofer line d which be a doublet of wavelength of 589nm and 589.6nm this result would suggest that there be likely to be a presence of sodium in the sun 's atmosphere although the fraunhofer line have a doublet of wavelength only one be see in the spectrometer if a high resolution spectrometer be use then the presence of two line could be confirm to give the best possible chance of see two line with the apparatus use several change could be make a brighter sodium lamp could be use instead of a flame a this will produce a more reliable spectrum a bright lamp would also allow for a small slit which would decrease the overlap of the two line decrease the slit space would also spread the spectrum more make the two wavelength more distinct for the copper sulphate salt the data in table iv be obtain when the copper sulphate be burn the light emit be diffuse and not very bright the light see through the lens be very spread out meaning the collimator may not have be able to make all the light beam parallel the error from the width of the peak and the parallax error be much large than for the other three at 40 arc minute peak from m -5 to m 5 be visible through the eyepiece the error in 𝜃 be take a √2 × 10′ ≈ 0.2357° this be due to the fact two measurement be use to calculate 𝜃. to calculate the error in the sine term the percentage error in the angle be multiply by the cosine of the angle this be use a a weight factor in the python calculation of gradient 𝜃 for m 0 have no error a it be define to be zero the error in 𝜃 be take a √2 × 40 ′ ≈ 0.9428° this be due to the fact two measurement be use to calculate 𝜃. to calculate the error in the sine term the percentage error in the angle be multiply by the cosine of the angle this be use a a weight factor in the python calculation of gradient 𝜃 for m 0 have no error a it be define to be zero the data from table iv be plot in python to give the graph in fig 6. the gradient and error obtain from the `` polyfit `` function be 0.0420  0.0017. from 3 we find 𝜆=0.042× 1.269 ×10−5 8 5.33 x 10^-7m the percentage error be found to be approximately 4.06 this give an absolute error of around ±20𝑛𝑚 and result in a final wavelength of 𝜆 530 ± 20 𝑛𝑚 the range of copper wavelength do correspond to fraunhofer line e which have a wavelength of 527nm however the uncertainty in the wavelength be too high to be certain that the wavelength of copper match with this line also due to what be know about star formation it be unlikely that there be high amount of copper in the sun 's atmosphere a repeat of this experiment would require a more accurate way of get the emission spectrum of copper for example burning a more flammable salt with a large flame a more sophisticated spectrometer could also be use for the lithium salt the data in table v be obtain when the lithium salt be burn next to the slit a red line be observe through the lens the error from the slit 's width and the parallax error be approximate to around 10 arc minute .. peak from m -4 to m 4 be visible through the eyepiece the data from table v be plot in python to give the graph in fig 7. the gradient and error obtain from the `` polyfit `` function be 0.0528  0.0005. from 3 we find 𝜆 0.0528 × 1.269 × 10 −5 6 6.71x 10^-7m the percentage error be found to be approximately 0.99 this give an absolute error of around ±7𝑛𝑚 and result in a final wavelength of 𝜆 671 ± 7 𝑛𝑚 this value do not correspond to any fraunhofer line suggest little presence of lithium in the sun 's atmosphere it would seem odd that little lithium can be found in the sun 's atmosphere a it should be more easily fuse than for example sodium although the technique give good result for hydrogen and sodium the spectrum of lithium should be checked use a different method in order to verify that the wavelength measure be correct the aim of this experiment be to determine the wavelength of the element hydrogen sodium copper and lithium and to compare these to the fraunhofer line in order to determine the chemical composition of the sun 's atmosphere the wavelength found be hydrogen -𝜆 658 ± 6 𝑛𝑚 copper -𝜆 530 ± 20 𝑛𝑚 lithium -𝜆 671 ± 7 𝑛𝑚 when compare to the fraunhofer line it be found that hydrogen and sodium be present in the solar atmosphere copper and lithium be not found in the solar atmosphere however more experimentation should be carry out before this be know for certain the result from this experiment show that it be possible to determine the chemical composition of distant object through analysis of their spectrum this could be use to check for the presence of the error in 𝜃 be take a √2 × 10′ ≈ 0.2357° this be due to the fact two measurement be use to calculate 𝜃 the measurement itself and the `` zero angle `` to calculate the error in the sine term the percentage error in the angle be multiply by the cosine of the angle this be use a a weight factor in the python calculation of gradient 𝜃 for m 0 have no error a it be define to be zero every element not only on the sun but also on other star in our galaxy,superficial,bal,72,0.0451773,0.954822659,,Understand the difference  - to get an idea of what topic 0 and topic 1 is.,,,,,,,,,,,,,,,,,,,,,,,,
2,GS_WHP087_Redacted,this experiment be conduct to determine the rydberg constant by use the emission spectrum of hydrogen lamp in the experiment light emit by hydrogen lamp be diffract into bright fringe and be observe through a grate spectrometer fringe with three colour red green and purple be observe for each colour the diffraction angle and order of maximum be measure and be use to determine the wavelength wavelength of each colour and their correspondent initial and final energy level be then use to calculate the rydberg constant the value calculate with the red light be 11161664.7±40600.2𝑚 −1 the value calculate with the blue light be 10956139.2±51453.5𝑚 −1 and the value calculate with the purple light be 10773444.4±12520.1𝑚 −1 atom emit light with discrete wavelength due to electron movement but light be mixed so that color can not be observe through a diffraction grate light with different wave length have different diffraction angle which separate light by their wavelength so that wavelength of emit light can be measure wavelength of light emit by an atom be call emission spectrum it be in 1855 that the emission spectrum line of hydrogen atom be precisely measure by j. j. balmer and lyman it be found to be regular and conclude into an equation call balmer equation by the former the equation be an empirical formula which show that the wavelength of the emit light by a hydrogen atom be related to 1/𝑛 2 where n be any positive integer great than 3. and the equation be developed by rydberg into rydberg equation which be consist with a wider range of spectrum over next few decade and rydberg constant be therefore introduce to fit the equation but the meaning of the equation the constant and the emission spectrum still could not be interpret until the establishment of bohr model of hydrogen atom bohr explain that the emission of light be due to the transition of electron 's energy level and the energy of emit photon equal to the change in electron 's potential energy since energy level of electron be quantize the atom can only release light with certain wave length and the rydberg constant be later deduce by bohr use his model and plank 's photon theory with 0.05 percent of error which be interpret because of the atom movement in this experiment emission spectrum of hydrogen lamp be measure through grate spectrometer and the rydberg constant be calculate figure 1 1 spectrometer theory with light passing through grate in spectrometer principal maximum occurs when light that go through all slit have instruction interference which be to say that light passing through every slit have a phase difference of 2nπ with the light passing through the neighbor slit where n be any integer δ𝜙 2𝑛𝜋 1 where δ𝜙 be phase difference between two light wave which can be also express a δ𝑟 be denote a path difference and 𝜆 be wavelength the path difference can be farther express a where d be the separation between slit which be where n be number of slit per meter and 𝜃 be diffraction angle therefore and n represent order of maximum which be to say from equation 5 it can be told that light with different wavelength have different diffraction angle therefore a mixture of light with different wavelength can be separate through a grate and wavelength of each light can be determine by the linear relationship between diffraction angle and order of maximum a mention before rydberg equation describes the relationship between the wavelength of emit light and the correspondent change in energy level in hydrogen atom accord to bohr 's equation for energy level the total energy of an electron be and plank 's photon theory the photon energy be where 𝑚 𝑒 be the mass of electron e be charge per electron and n be energy level of the electron the photon energy should equal the change in energy level therefore where n and p be final and initial energy level the equation can be rearrange into which mean where r be call rydberg constant figure 2 2 grate spectrometer the grate spectrometer be set up and calibrate by several step the telescope be first focus around 1 meter far the adjustable slit be then narrow a sodium lamp be place in front of the slit the telescope be adjust so that the crosswire inside the telescope be align with the slit the telescope then be turn exactly 90 degree by the vernier angular scale and clamped and a diffraction grate with 78.8 line per meter be set on the turn table the turntable be rotate until the crosswire of the telescope be again align with the fringe of the slit from the reflection of the grate then the telescope be unclamped and rotate exactly 90 degree back the turn table be rotate exactly 45 degree and clamped the reading on vernier scale be record a central angle 𝜃 0 which for this experiment be 96.17 degree turn the telescope the fringe of sodium lamp light can then be observe through the telescope the sodium lamp be then replace by a hydrogen lamp turn the telescope red green and purple fringe be observe for fringe with each color the rotation angle show by the vernier meter and order of maximum be record and for each fringe the width be measure a the error there should be more color but be unobservable 1. for date of each color the fit line between order of maximum and the sine function of change in rotation angle to central angle 𝜃 0 be drawn slop of fit line of red blue and purple be 0.05083±0.00018 0.03836±0.00018 0.03482±0.00005 respectively accord to equation 5 the wavelength be the slope time d which be 1.27e-05 m. thus wavelength calculate for red blue and purple fringe be 645.0±2.3nm 486.8±2.3nm 442.0±0.6nm use the wavelength with correspond initial and final energy level rydberg constant can be calculate with equation 10 the initial and final energy level for red blue and purple light be 2 and 3 4 5 10773444.4 ± 12520.1𝑚 −1 in this experiment the spectrum of hydrogen atom be analyze use grate spectrometer hydrogen lamp be use a the source through the spectrometer three colors-red blue and purple-were observe for each color diffraction angle through the grate and order of maximum be measure and use to calculate wavelength wavelength calculate for red blue and purple be 645.0±2.3nm 486.8±2.3nm 442.0±0.6nm wavelength than be use to deduce the rydberg constant use equation 5 result calculate use red spectrum be 11161664.7 ± 40600.2𝑚 −1 blue be 10956139.2 ± 51453.5𝑚 −1 and purple be 10773444.4 ± 12520.1𝑚 −1 the theoretical value calculate by bohr use equation 1 be 1.0967758×10 7 m -1 the rydberg constant be of a great importance since it be coincide with bohr 's theoretical value it prof bohr 's and plank 's quantum theory to be true lead the world into a quantum age,superficial,bal,53,0.07288143,0.92711854,,Much less text -> easier to understand why it is categorised heavily to topic 1. Useful to know that LDA is not comprehensable to humans. ,,,,,,,,,,,,,,,,,,,,,,,,
3,GS_NPG050_Redacted,"the aim of the experiment be to measure the spectrum of vaporise hydrogen from a hydrogen lamp and determine the wavelength of the spectral line use this we calculate the rydberg constant for each spectral line and found an average and take the standard error the final value of the rydberg constant we obtain be 1.092x10 7 ± 3.180x10 4 m -1 this be a highly precise experiment generate a percentage error of only 0.291 the set up consists of a simple spectrometer with a 78.8 lines/mm diffraction grate and a hydrogen lamp the spectrometer can measure in the vernier scale the small increment of measurement be 1 arcminute we measure the angle at which each order of the spectral line appear after be diffract and plot a sin angle against order graph to determine the wavelength of the spectral line the wavelength be then use with rydberg formula to determine the constant spectrometry be a technique of use em radiation and in specific case also use the mass of an ion and magnetic field to determine the structure or the composition of a material or an object diffract light from a material or the amount of ion deflection in a magnetic field be analyse 1 in our experiment we be focus on the emission spectrum of hydrogen gas a a potential difference v across the filament in the hydrogen lamp be apply the gas be heat and cause the atom to be excite the electron in the atom be promote to a high energy level and then fall to a low energy level energy equivalent to the difference in the energy level be release in the form of a photon 2 the energy level be fix and so only photon with discrete wavelength be release therefore each element or compound have a unique spectral pattern in this experiment we be observe the balmer series in hydrogen this be to say we be look at wavelength of photon generate from an electron transition from a high level n=3,4,5… to energy level p=2 this produce photon in the visible spectrum this can be see in the rydberg formula give by eq 1 where 𝜆 be the wavelength 𝑅 ∞ be the rydberg constant 𝑛 be the energy level high than 2 and 𝑝 be the 2 nd energy level 3 the light in the spectrometer can diffract through a diffraction grate the wavelength of each spectral line can be determine by the diffraction formula give by eq 2 where ⅆ be the distance between the slit in the diffraction grate 𝜃 be the angle at which the order appear in radian 𝑚 be the order at which the spectral line appear where m 0 ±1 ±2 etc and 𝜆 be the wavelength pf the spectral line 4 the central order m =0 will appear at 𝜃 =0 at the central order all the spectral line will be overlap the set up consists of a simple spectrometer with a 78.8 lines/mm diffraction grate and a sodium or hydrogen lamp the set up can be see in fig 1. sodium lamp be use to ready the spectrometer a it produce high intensity light and have a longer operational time than the hydrogen lamp however the sodium lamp do take some time about 2 minute to reach maximum intensity it have a manageable warm up time this overall make the set up of the spectrometer much easy a time can be take to make fine adjustment the disadvantage of use a hydrogen lamp instead of shin light through a vial of vaporise hydrogen and measure an absorption spectrum be that lamp only remains bright enough to make measurement of the low wavelength light for about 10 minute it also only have an operational time of 20 minute this meant that the measurement have to make quickly this however be still more manageable than the alternate method of produce the hydrogen spectrum a the light emit through the hydrogen may have it own spectrum this may lead to confusion when analyse the overall spectrum the sodium lamp be set up in front of the slit and the slit be narrow the intensity of light from the sodium lamp be high and the narrow slit provide a high resolution of the spectral line the resolution be the ability to separate two spectral line and see them discretely the spectral line be then focus use the focus nob the spectral line be ensure to be vertical by place a filter that block some light and turn the line into small dot it be important to ensure that the spectral line be vertical so that the angle measure be in a plane that be perpendicular to the line the filter be make by cut a triangle in a black square card it be position in front of the slit and adjust until the line appear to be dot the filter be then taped on to the slit securely hold it in position the head of the spectrometer be rotate from left to right and we observe if the crosshair pas through the centre of the dot if the crosshair do n't then the stand hold the diffraction grate be adjust use the 3 level screw until it do the filter be then remove a diagram of the filter can be see in fig 2 the diffraction grate be also place such that it be perpendicular to the slit and lens array in front of the lamp preliminary data of the order and angle at which the order appear be make use the sodium lamp here we notice that it be best to make measurement by rotate the head in one direction ie go from m= -4 to m=4 rather than start at the m=0 and change direction after reach the high order this be because change direction occasionally cause the spectrometer to shift a it be not fix to the table finally we replace the sodium lamp with the hydrogen lamp the hydrogen lamp be place such that it be closer to the slit and the centre of the lamp face the slit the centre of the lamp be the brightest part of it the slit be also make to be a bit wider than before this allow more light into the spectrometer a the hydrogen lamp be dimmer than the sodium lamp this however decrease the resolution of the spectral line the spectrometer be refocus and measurement be make first we slowly move from the 0 th order a this be the easy to identify to the -4 th order which we define to be in the clockwise direction then we measure the angle at which the red spectral line appear make sure to keep the crosshair in the centre of the line this be do by use the fine adjustment screw locate on the base we then measure the angle of the subsequent order of the red line until we reach m +4 we then repeat the same technique with the blue and purple line the observe spectral pattern of hydrogen can be see in fig 3 and the data of the angle of each order for each spectral line can be see in appendix a. a see in fig 3 the pattern also contains a rainbow artefact this be due to light from the surround enter the spectrometer if the experiment be do in perfectly dark condition then this pattern would not be see",superficial,bal,64,0.078393534,0.921606421,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63,0.065484088,0.934515873,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YEAR 1 -> high topic 0 - low topic 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,GS_XMC918_Redacted,the uncertainty in the measurement of each angle be estimate simply by take several reading of each maximum and compare them to find a range the uncertainty use for each data point be then half the total range which be found to be 1/6 of a degree source of systematic error be mostly not possible for u to measure in the time available so for example we do not obtain enough measurement of maximum to both side of the centre to compare them and as how much error may be arise from slight asymmetry in the alignment of the spectrometer instead the result here be base on measurement just to one side of the centre and this error can not be quantify similarly other potential source of error such a atmospheric condition affect the optical property of the air and therefore alter the wavelength due to a potential change in the speed of light be not account for a these condition i.e humidity air pressure be not measure when the experiment be be carry out furthermore a other work be be do in the lab variation in background light could not be avoid meaning some data point may have underestimated uncertainty if background light be high when the measurement be take specifically to the setup we use the spectrometer be balance on a table which do not perfectly sit flat on the table we attempt to prevent it wobble while we make our measurement by place some paper under one of the leg but this do not seem to fully remedy the problem so it may have create some random error if it be not in exactly the same position for all the measurement the result we be able to obtain include only two wavelength of the balmer series a low wavelength be not visible with the set up use the two correspond to n value of 3 for the red light and 4 for the blue violet light which we assume to correspond to n=5 be visible only to the first maximum and so we be unable to gather enough data point to calculate a precise value for it wavelength and other colour be not visible at all a show in fig 2 and 3 the data fit extremely well to a linear relationship a predict by our model this allow u to calculate value for the wavelength of 6614762x10 -13 +/-7x10 -13 m for the red light and 47739x10 -11 +/-1x10 -11 m for the blue use 2 the mean value of the rydberg constant obtain from 3 be 11028400+/-100m -1 this do not agree with the accepted value of 10973731.6m -1 which would suggest that systematic error in the experiment have a significant impact however consider the individual value for the two different colour the red light give a value approximately 1 low than the accepted value while the blue light give one approximately 2 high rather than support the idea that it be cause by systematic error it instead implies that the problem be that random error be underestimated the most likely candidate for this phenomenon be the unstable table on which the spectrometer be balance mention in section iii it would explain why the two data set show very little error within themselves and yet the two data set both conflict with both one another and the accepted value it be possible that other source of error played their part such a background light and atmospheric condition however it seem less likely that these would have give such a clear divide between the two data set the unstable table would be more likely a the data set be take very close together give limited time for such a distinct change in humidity or pressure also background light fluctuate throughout the experiment with no chance of give such a distinct contrast in the two set of reading another contribution to the error in our result be likely not accounting for possible asymmetry in our set up by only measure to one side of the centre it be possible that if we have do so we would have notice the effect of the unstable table and have a chance of quantify the resultant error instead we be left with no way of state with any certainty whether this or another unidentified source of error lead to the issue in our final value use our method we be able to obtain a value for the rydberg constant which fell within 1 of the accepted value however a we underestimated the systematic error inherent in our set up our value conflict with the accepted value despite be so close in order to make it a useful measurement we would need to return to the experiment and thoroughly investigate and quantify the impact of all potential source of systematic error described in section iii once this be do it would be possible to both more confidently state which source of error cause the issue in this experiment and to repeat the experiment with well control and understand of these error to obtain a more accurate value of the rydberg constant another improvement that could likely give a significant increase in the accuracy and precision achievable would be if extra wavelength could be observe to increase the amount of data available this could be achieve either by change the source to one in which low wavelength be brighter and could be measure another possibility be to use other method of observation than the naked eye allow infra-red ultra violet or both to be observe in addition once again this would simply increase the amount of data available to use in calculation thereby reduce statistical error and give a more precise final value,deep,bal,71,0.959953249,0.040046759,,,,,,,,,,,,,,,,,,,,,,,,,,
