Pseudonym,GS percent,Interferometry percent
AAN562,45,60
BKZ271,53,70
BMS328,62,65
BOD369,67,70
BPP712,71,80
BQD756,61,70
BSS487,53,60
BYH124,48,55
CCY232,65,65
CTW087,45,55
CYF541,63,75
CZD812,48,60
DAG780,68,60
DAR896,69,70
DHM538,61,65
EIW693,61,70
FHG790,72,60
FHJ539,80,75
FIJ609,67,65
FTZ138,61,65
FVA673,57,65
FYO506,59,50
GEI074,63,65
GKW379,49,65
GOO868,57,60
GQR325,55,60
GQV977,44,65
GTD911,53,65
GXI055,63,60
GYI981,69,70
HBQ145,61,65
HDP206,63,75
HHM124,66,70
ICG798,75,75
IHJ555,61,70
JSR480,77,70
JUA192,53,60
JWI426,77,75
KGL587,51,55
KSN764,84,70
KUY555,68,75
LEH982,62,75
LSK572,64,60
LUU804,59,60
LXZ649,69,70
LZH215,65,70
MFR246,51,40
MHH822,69,70
MJV182,57,70
MOX979,72,70
NGT657,77,65
NHZ839,44,60
NPG050,64,65
NQR167,57,70
OQP549,65,70
OXY643,69,70
PAO564,58,65
PHU922,68,70
PLS878,69,60
PUK317,66,65
QFQ712,53,65
QMC249,66,65
QPL350,55,65
RAK801,55,40
SKD544,71,65
SRW902,68,70
SUY577,64,65
SZB587,74,70
TAP080,64,65
TFY667,73,70
TGO908,64,65
TKK454,53,60
UGX035,81,60
VEJ488,69,75
VJL711,63,65
VLS445,49,65
WEM893,74,70
WHP087,53,65
WSY182,71,55
XMC918,71,75
XUL605,47,65
XUQ367,53,65
YCF820,61,65
YMJ516,60,70
YUK005,51,50
YXT141,84,80
YZI659,61,70
