,StudentID,Content,ArgumentLevel,ReasoningLevel,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,GS_DHM538_Redacted,have collect the data for a many order of diffraction that we be able to observe the value of the angle be able to be process by average the two reading convert them to degree use 1 arcminute= be able to be plot with each of the wavelength able to be calculate use 5,deep,exp,,,
1,GS_SKD544_Redacted,the emission spectmm from the hydrogen discharge lamp appear approximately a show in fig 6 only three colour of spectral line be observe red cyan and violet give that the relative intensity of the violet line decrease a the value of n increase l it be deduce that this spectral line could only sensibly coll'espond to a nvalue of either n 5 or n 6. the intensity of the maximum decrease a the order increase to the extent that there be no third order positive or negative line for the violet light the central maximum appear a a bright pink-pwple colour due to the supe1position of wave of each colour and the dispropo1tionately high intensity of the red spectral line,extended,bal,,,
2,GS_EIW693_Redacted,𝑑 1 𝑁 12690.35533 𝑛𝑚,extended,the,,,
3,GS_DAG780_Redacted,the reference angle at which the diffraction angle be zero and the purple mixture of all the wavelength could be see be measure to be 204° 5′ where ′ represent one arcminute and be equivalent to 1/60 of a degree the reading for θ be make when the crosshair be center in the middle of the spectral line each line have a measure thickness of 4′ which contributes an error of ±2′ to θ. another source of uncertainty arose from the difficulty in reading the vernier scale and the error for be approximate from the variation in repeat measurement which turn out to be ±3′ therefore the standard error in the diffraction angle θ be estimate to be 𝜎θ ±5′ or 0.083° and this error be propagate to give a standard error in sin θ and hence the error in the gradient and wavelength could be determine,deep,bal,,,
4,GS_BIN300_Redacted,the experiment equipment be set up and procedure follow a described in the experimental setup and preliminary investigation section for each diffraction pattern sin θ where θ be the diffraction angle be plot against m the order of the maximum and a least square straight-line fit be implement for example see figure 4 there be random error in the angle reading associate with the ability to read the vernier scale by sample several people different reading of the same value the error be estimate to be 8 arc minute the random error associate with ambiguity when judging the right edge of spectral line be estimate by have the same person take a few reading of the same spectral line 4 arc minute furthermore it be assume an error associate with defocus and misalignment exist and be about 2 arc minute to obtain the total error on the diffraction angle these source of error be combine in quadrature the variable of sin θ be compute by multiply the total error on the diffraction angle by co θ evaluate at each diffraction angle there be no error on m because it can only take discrete value,extended,the,,,
5,GS_NHZ839_Redacted,spectroscopy be one of the most powerful tool we have at our disposal today for research and be use in many field include quantum physic and astronomy it relies on the way electro-magnetic wave interact with matter and how different wavelength may be affected this set of experiment be do to familiarise ourselves with the spectrometer a piece of equipement that allows the user to see the different wavelength compose a ray of light on the first experiment discuss in this report our goal be to determine the rydberg constant which be part of the equation describe the wavelength emit by a hydrogen atom the spectrometer be base on one basic physical phenomenon diffraction and interference when a wave go through a slit approximately a wide a the wavelength it get diffract meaning that a parallel beam will come out of the slit a a cone the interference happens when there be multiple slit or in the case of the spectrometer a grate with a large number of slit a show in figure 1 when look with a telescope at an angle θ from the grate what be see be a superposition of all the wave come from each slit in the grate a these wave originate all from the same source they be in phase at the grate and their difference of phase at the telescope depends on the difference of length of the path they be take they will interfere constructively when their path difference be a multiple of their wavelength and destructively when it be half the wavelength plus some multiple a show in figure 1 the path difference of two neighbour slit be give by d sin θ where d be the slit width in the grate the purpose of have a large number of slit be to create more discrete interference pattern and thus locate constructive interference more easily a a result of the above when a beam of wavelength λ be pass through the grate a constructive interference occurs whenever where m be an integer which we will refer to a the order of the constructive interference a such have precise knowledge of d and θ allows you to find λ and even more interestingly when passing a beam compose of multiple wavelength through the grate the constructive interference will occur for different θ allow u to clearly see the different ray in this experiment we look at the light emit by a hydrogen lamp unlike a common incandescent light bulb which emits a continuous spectrum of light through thermal emission a hydrogen lamp emits a discrete set of wavelength this be do by the excitation of the electron around a hydrogen atom when this electron go from a high level of energy to a low one the lose energy will be emit a a photon a the energy level of an electron in a hydrogen atom be quantise so be the energy of the photon that can be emit by use the formula relate the enrgy of a photon to it frequency e hν where e be the energy ν be the frequence and h be planck 's constant it be easy to see that the possible emission wavelength be also quantise these wavelength be give by where n and p be integer represent the energy level of the initial and final state of the electron r ∞ be the rydberg constant which we want to determine on the spectrometer the user be able to rotate the grate and the telescope with good precision the angle be give by a vernier scale with spacing of 1 arcminute we first setup the telescope to focus on a distant image a it would be receive a parallel beam and align it with the collimator wich would produce the beam use the crosshair in the telescope we then want to align the grate so we rotate the telescope by exactly 90 degree and place a mirror on the grate table we then shone a light through the collimator and turn the mirror in order to have the light arrive exactly on the crosshair at this point we knew that the mirror be at a 45 degree angle so we be able to turn everything precisely back in place to have it all align 0 degree everywhere we put the narrow slit we could between the hydrogen lamp and the collimator to obtain narrow ray in the interference pattern however we be meant to see three different ray compose the light and only two appear so we have to widen the slit when we take data for the third ray in order to have a visible intensity the experiment be do in this way the hydrogen lamp emits an orange light wich be compose of three different ray one red one blue and one violet and other high wavelength ray which we could not see for each ray we turn the telescope until we found a constructive interference note the order and the angle each time this would allow u to determine each wavelength and in turn the rydberg constant 4 data analysis when do the setup we align everything properly but instead of have everything to 0 degree we have an initial offset of 180 • 7 the width of the slit in the grate be d 1.27 × 10 5 the raw value we obtain be in table 1. figure 2 3 and 4 show this data when the offset be take out from equation 1 the gradient give u λ/d which then give u λ a d be know we found value of λ red 658 nm λ blue 486 nm λ v iolet 436 nm the rydberg constant can then be deduce from equation 2. for this it be give to u that the hydrogen atom always fall back to a state of p 2 and so these λ correspond to n 3 4 and 5. we find r ∞ 1.11 × 10 7 m 1 which be close to the know value 10 973 731.6 m 1 to estimate the error on the final value the error on the measurement be need first reading the vernier scale prove to be quite difficult with the tiny scale and the dim light so we take an error of ± 3 the ray have a width of 3 when look through the telescope so this give u an error of ± 1.5 the overall error on θ for the red and blue ray be hence give by √ 3 2 1.5 2 ≈ 4 ′ for the violet ray a we have to widen the slit in order to let in more light the width of the ray be 15 so the overall error on θ be ±8 ′ to find the error on the wavelength a the error for d the space in the grate be much small than the error on θ we only take the error on θ. the error of λ be then give by calculate it for each value of θ and then divide the mean by the square root of the number of data point a it be the mean of an error this give u σ λ red ±10nm σ λ blue ±10nm σ λ v iolet ±30nm the error for 1/λ be then give by and we then use again the same methos of the mean of an error to calculate the error on the rydberg constant give u in the end this experiment show u that the spectrometer be a quite precise instrument a we found value close to the know one the wavelength found for the hydrogen lamp be 658 nm 486 nm and 436 nm which be very close to the actual value of 656.3 486.1 and 434.0. the actual rydberg constant be within our error a we found which go to show how accurate this equipement can be when it be our first time use it and in non optimal condition extension number 2 of this set of experiment even show how we can know the composition of the sun just by look at the wavelength it emits by compare them to those of know element it be also this that have allow the scientific community to discover quantum mechanic a it be heavily involve in many pioneer experiment such a the photoelectric effect or compton scatter overall it be a very precise tool,superficial,the,,,
6,GS_TCQ490_Redacted,spectrometer be use to examine the spectrum of light emit by various source such a star crystal lamp an so on it be a very powerful tool a it give out data on multiple aspect of the light we make an attempt on measure the rydberg constant by follow the grate equation when light be pass through narrow slit diffraction occurs grating act a many narrow slit create many light beam with path difference which lead to phase difference these beam interact with each other create diffraction pattern maximum diffraction pattern happens when the phase difference be equal to integer multiple of 2π phase difference path difference ´2p l 2p m 1 1 where m be a integer also know a the order number λ be the wavelength of the light a show in where n be the number of slit when another light with different wavelength λ 2 be also pass through the slit a different diffraction pattern with maximum at different position be add to the imige now have two wavelength it can be deduce that then where dl be l -l 2 and be very small compare to λ. the rydberg constant r ¥ be give by 8 where n be initial state of the atom p be the final state of the atom which be all integer when atom be excite electron move to high energy state however it be less stable so they drop back to their ground state with a release of energy in the form of photon for hydrogen their ground state be p 2 and the electron be excite to different state to give out different wavelength of light fig 2 the setup of the spectrometer first focus the spectrometer to an object very far for example building out side the window put the grate in place very vertically and do not touch the grate itself then line up the light source in this case sodium lamp and hydrogen lamp with the collimator look into the eyepiece and adjust the width of the slit to be a small a possible but bright enough for the light to be observable after that make sure the crosshair be in the middle of the light beam and also the zero order of the light have no obvious split read and record the angle ±0.001° on the spectrometer then find the -2 order of the diffraction pattern aline the crosshair with one of the brightest colour observable record the angle and then turn to the next order until +2 order make sure to only work in one direction in order to avoid backlash the grate spectrometer 2 i. result first we try with sodium lamp however there be only one colour that be very bright so we only checked for symmetry to ensure that the spectrometer be correctly set up then the wavelength of the two colour can be determine by plot d sin θ against m accord to 4 the wavelength will be the gradient red the wavelength for red be 2.04e-04m the wavelength for blue be 2.76e-04m compare the two result to the wavelength of red light and blue light it be quite accurate,superficial,bal,,,
7,GS_PUK317_Redacted,only three district wavelength of light be found in the visible range they have wavelength of 647 ± 3 nm 482 ± 0.5 nm and 431 ± 0.4 nm these wavelength be found from the gradient of fig 2 multiply by the slit separation d. in order to far analyse this data two assume have to be make firstly the observe light have the same value of p this be valid because change the value of p would incur such a large change in λ that it would cause it to fall out of the visible range secondly that the n value of the observe emit light be consecutive this be valid because there be no intermediate wavelength of light detect it can also be deduce that the long wavelength of light be emit from the low change in energy so must correspond to the small value of n,extended,the,,,
8,GS_BOD369_Redacted,a spectrometer be use to analyse the emission spectrum of a sample of hydrogen three spectral line be analyse and rydberg 's constant be measure to be 1.09 ± 0.01 × 10 7 m −1 furthermore it be show that the emission be most likely those of the balmer series produce by electron fall to the n=2 state from high energy level a second experiment be also conduct in which a spectrum be produce by a white lead nichia 713-3955 a continuous spectrum be observe and image take in order to discern how the lead produce this and the nature of the spectrum t he most simple quantise model of the atom be the bohr model of hydrogen in which a single electron be consider to orbit a proton bound entirely by the coulomb force 1 in this model we consider the quantise nature of electron energy level such that only distinct and discrete wavelength of electromagnetic radiation can be absorbed or emit by an atom these wavelength be unique to a particular atom or molecule and can therefore be use to identify matter present in object such a star or mixture of gas and theirs property in this way spectrometry can be use to study fundamental interaction between electromagnetic radiation and matter in a similar way to in atom led function by the stimulate movement of electron between artificial energy level within the led structure such that the electron emit photon 2 thus information on structure of an lead could be discern by perform spectrometry on it emission spectrum figure 1 show how light diffracts through a diffraction grate where the path difference between adjacent beam to any point on the screen be give by dsin θ where d be the distance between adjacent slit and θ be the angle subtend by a diffract ray and the displacement between the grate and the screen for the wave to interfere constructively this path difference must be an integer multiple of the wavelength λ thus we find the relation where n be the order of the maximum an experimental set up like that in figure 2 be use circle graduate in degree with a minimum angular resolution of 1 arcminute the spectrometer be calibrate by set the telescope cross-hair directly on the open slit with a test bright light source behind it before insert the grate the telescope be rotate at 90 • to the collimator a mirror be insert into the grate turntable and rotate so that light be reflect from the collimator into the telescope at this point the mirror be at 45 • to the light beam the mirror be then replace with the diffraction grate and rotate 45 • to make it perpendicular to the collimator the telescope be then rotate 90 • back to face the collimator the diffraction grate use have 300 line per millimetre a this be the only grate which allow the m red ±2 and m violet ±3 maximum to be easily distinguish but still provide enough visible order such that a mean and error could be calculate measurement be take anticlockwise from the high order maximum on the left to that on the right in order to avoid any mechanical inconsistency that my be present in the device if the direction of rotation be alternate the high order maximum that could be see clearly be m blue 3 and m blue −3 with angle from the central maximum of 25.93 • and −25.08 • respectively in order to maximise precision the slit be close until the maximum furthest from the centre be just visible this meant that the cross-hair be always centre on the fringe reduce the error in the fringe 's position and that adjacent fringe would be less likely to interfere or obscure each other the high order maximum for the red emission line be 2 and -2 a any high order maximum be likely too dim with the slit at a width small enough to provide adequate precision the measure result can be see in table i where the error be determine a the minimum resolution of the spectrometer 1 arcminute instead of half that a the measurement depend on an initial measurement of the location of the central maximum a can be see the angle be symmetric around the central maximum but all positive order of maximum have angle away from the centre that be large than their negative counterpart this would seem to imply that the diffraction grate be not set up perfectly perpendicular to the incident light beam alternatively the actual position of the central maximum could have be measure inaccurately however this seem less likely a the inconsistency be a high a 0.32 • an order of magnitude large than the resolution of the device in the case of m blue ±1 the average wavelength associate with the angle in table i can be see in table ii error be calculate use equation 2 where σ m be the standard error on the mean s be the standard deviation of the value use to calculate the mean and x be the number of value use to calculate the mean the measure wavelength mostly align with those measure for the balmer series of hydrogen emission line on the order of 655nm for red 485nm for blue and 433nm for violet 3 there be a noticeable difference of around 10nm between the measure violet wavelength and the accepted one it could be that whatever error present in the set up which cause the asymmetry in table i be intensified at small wavelength a small difference in slit width and angle will have a large contribution to this small value of λ. the similarity between our measurement and those of the balmer series implies that electron be fall to the n= 2 electron quantum state from the bohr model of the hydrogen atom we find where r h be the rydberg constant for hydrogen n be the low energy electron quantum number and p be the high energy electron quantum number the full derivation of this can be found in appendix a 1 it be interest to note that this equation only describes atom or ion with a single electron a multiple electron will interact with each other however for nucleus with more than one proton the rydberg constant will have a different value scale by the increase in charge of the nucleus a it have be establish that the measure wavelength be most like those of the balmer series then n 2 and p 3 4 5 for the red blue and violet emission line respectively note that the energy level of the emission line must be consecutive else other emission line would be see furthermore a the the energy of the photon be described by where h be planck 's constant and c be the speed of light a large difference in energy level corresponds to a small wavelength λ. for each of the wavelength an average value of r h be calculate and can be see in table iii this give an average value of r h of 1.09±0.01×10 7 with all error calculate use equation 2. the accepted value for r h be 1.10 × 10 7 therefore our measure value be in concurrence with this 3 it may be of interest to compare this data to different assumption of the n electron energy level a such the possibility must be consider that n could be high or low than n 2. a can be see the assumption of the n 3 or n 4 state produce line that be quite clearly not horizontal have gradient an order of magnitude large than that of n 1 or n 2. from comparison with other measure value of the balmer series n 2 it be clear that the measure wavelength be those of the balmer series however this be not necessarily clear from the figure 4 a n 1 and n 2 have gradient of similar order of magnitude although the gradient for n 2 be indeed closer to 0 it be not significantly closer furthermore the error in n 1 be significant compare to it value around 35 this be likely due to the afore mention deviation of the violet emission line wavelength form it expect value a such more data would be require to prove that electron be fall to the n 2 state a set up like that in the previous experiment be use see fig 2 with the 300 line per millimetre diffraction grate replace with a 100 line per millimetre grate and a camera use to take image through the eyepiece 4 this be do to allow the entire spectrum to be visible at once a see through the eyepiece so that it could then be photograph and the intensity across wavelength plot a nichia model 713-3955 white lead be use in place of the hydrogen lamp a scan 90 • clockwise and anticlockwise from the central maximum be make to give a qualitative understand of the diffraction pattern interestingly it be observe that the spectrum of the lead be entirely continuous this can be see in figure 5 with no clear vertical line correspond to specific emission line this be entirely contradictory to the idea that this lead work use artificial energy level within the material alone to generate light a a set of energy level span a range must be produce such that the difference in energy between subsequent energy level be small enough to produce a spectrum that appear continuous furthermore each energy level will have a different threshold voltage meaning that one could activate only low energy emission of red light with a sufficiently low voltage this however be not observe and the lead turn on sharply at 2.66 ± 0.005v a such it seem reasonable to assume that the lead itself produce a high energy wavelength for example ultraviolet and this be absorbed by a phosphor coat and re-emitted in the visible range horizontal line can be observe on the spectrum however this be determine to be cause by dust within the slit on the collimator block some of the incident light a far issue exist in that order of maximum high than the first order be see to overlap fig 5. two image be take of the spectrum with the camera centre on the blue region and the red region respectively this be do to hopefully remove some of the camera 's bias towards certain colour or object in certain position the angle away from the central maximum of the red and blue boundary can be see in table v and the intensity plot of each can be see in figure 6 and 7. interestingly it can be see that there be clear saturation of the detect intensity between a distance of 300 and 500 pixel on both figure 6 and 7. the wavelength in this interval correspond to the range 470nm to 520nm this fact alone implies that this camera be unsuitable for this purpose a either the detector or some aspect of it internal processing contains a bias towards certain wavelength in the visible a such in order to conduct this aspect of the experiment effectively an unbiased camera must be found and utilised in this paper a spectrometer be use to analyse the spectrum emit by a hydrogen lamp and a nichia 713-3955 white lead in order to discern a deeper understand of the structure present in each source first the spectrum of hydrogen be analyse and be found to contain three distinct emission line red blue and violet with respective wavelength of 652 ± 3nm 482 ± 11nm and 449 ± 3nm it be found that these wavelength be most similar to those of the hydrogen balmer series with the only measurement deviate from the accepted value be that of the violet measurement this deviation be likely due to asymmetry cause by error in calibration however far data should be take to confirm this from these wavelength measurement the average of rydberg 's constant be calculate to be 1.09 ± 0.01 × 10 7 with the accepted value value be 1.10 ± 0.01 × 10 7 3 far analysis be conduct under the assumption that the emission line see be not those of the balmer series figure 4 and table iv provide the predict value of r h associate with an emission line for a possible value of n. a rydberg 's constant should be the same for all wavelength the gradient of the line should be 0. it be found that the assumption of the n 3 or n 4 state produce line that be quite clearly not horizontal have gradient an order of magnitude large than that of n 1 or n 2. from the calculate gradient table iv it can be see that n 1 and n 2 produce gradient on the same order of magnitude a such more data would have to be collect in order to verify that this be the balmer series the lead spectrum be analyse and qualitatively it be notice that the observe spectrum be continuous contradict the expectation that the lead produce light in a way similar to that of other led by stimulate movement of electron between distinct energy level a the difference in energy between consecutive energy level would have to be small enough such that it could not be notice this seem like an unlikely design instead it seem more reasonable that the lead be cover by a phosphor coat which absorbs a small set of high energy wavelength and emits a continuous spectrum in the visible an attempt at a more quantitative analysis of the spectrum be make use image take on the camera of an iphone 7 however on far inspection of the data fig 6 and 7 it be see that the camera or processing within the device contain clear bias towards certain wavelength make the data fundamentally untrustworthy for this aspect of the experiment to be conduct successfully it would be necessary to utilise an entirely unbiased light photo-detector or camera mount to the spectrometer telescope to maximise stability the rydberg equation be where r h be the rydberg constant n be the low energy electron quantum number and p be the high energy electron quantum state to derive this we imagine a hydrogen atom in which a single electron be in a circular orbit of radius r of a single proton the total energy e held by the electron can be represent by the sum of it potential and kinetic energy a the only significant potential be electric potential then where e be the magnitude of the charge of the electron k be the coulomb constant m be the mass of the electron v be the electron 's velocity and r be the distance between the proton and the electron next we consider the electron to be orbit the proton thus the centripetal force f c be described by from this we find for the energy of a photon release from an electron move from energy level f=p to energy level f=n where p¿n and n and p be integer then therefore where mek 2 e 4 4πh 3 r h be the rydberg constant for hydrogen,expert,none,,,
9,GS_OQP549_Redacted,in the experiment conduct we calculate with an error of three part per thousand the rydberg constant this constant appear in rydberg 's formula and relates the inverse of the wavelength of emit light to the fundamental quantum number of the orbitals involve in the emission we calculate the value of the rydberg constant to be 𝑅 ∞ 1.099 • 10 7 ± 3 • 10 4 𝑚 −1 agree with the accepted value which be to four significant figure 1.097 • 10 7 𝑚 −1 1 to obtain the data necessary for the calculation we use a hydrogen discharge lamp observe it spectrum with an optical spectrometer and measure the angular position of the spectral line of three different colour with respect to the central maximum we then compare the result for the light wavelength obtain by plot the angular position against the order number with the know value for the correspond fundamental quantum number for the hydrogen pectrometry be a non-invasive technique that allows u to determine the chemical composition of an object by study the spectrum of the light it emits to obtain spectrum the light emit be separate into an array of different colour that can be observe use a spectrometer this technique find many research application especially in astronomy the composition of a distant astronomical object can be deduce from it radiation 2 one important relationship in spectrometry be the rydberg formula which express the behaviour of spectral line and be found empirically the constant that appear in the formula also name after rydberg can be express in term of fundamental constant the most general formulation of the relationship be first publish in 1888 by johannes rydberg a swedish physicist who start his career a an amanuensis the theoretical justification of his work be provide in 1913 by niels bohr who propose a model of the atom with electron orbit around the nucleus on quantise energy level 3 bohr 's work show that rydberg 's formula relates the fundamental quantum number of the energy level from and to which an orbit electron drop emit energy in the form of light and the wavelength of the light emit 3 the aim of this experiment be to measure rydberg 's constant use a grate spectrometer we use a hydrogen gasdischarge lamp a a source of light and register the angular position of the light fringe use an optical spectrometer from these measurement we be able to calculate the wavelength of the different colour of the fringe and therefore obtain a value for the rydberg 's constant a diffraction grate have equally space slit that be parallel and identical to each other and give an interference pattern with very narrow maximum this enables more precise measurement of the angular position of the maximum than could be obtain use a setup with few slit a series of fringe call balmer series can be observe with a spectrometer if a hydrogen lamp be place in front of it grate the band of each colour correspond to the maximum of the diffraction pattern and repeat several time at different angular position identify by an order number m a show in fig 1. the order number the angle θ relative to the position 0 th order at which a fringe can be found and the wavelength of the colour observe be related through the path difference 2 for light of wavelength λ a phase difference between neighbour ray of integer multiple of 2π determines a principal maximum the relationship between the phase difference δϕ and the path difference δx be give by where m be the order number a show in fig 2. the path difference be ∆𝑥 𝑑𝑠𝑖𝑛𝜃 2 where d be the separation between the slit of the grate combine equation 1 and 2 it follow that the relationship 𝑑𝑠𝑖𝑛𝜃 𝑚𝜆 3 hold 4 the rydberg constant s fig 2. a diagram show the difference in path length δx between two adjacent ray this distance be equal to dsinθ where d be the slit separation and θ be the grate angle a different expression for the wavelength be give by an empirical formula found by the swiss physicist johann balmer in 1855 later generalise by rydberg 5 the more general formulation be where r∞ be the rydberg constant n and p be integer and represent respectively the energy level of the initial and final state of the electron that emits the light the rydberg constant can be express use fundamental constant by look at the energy of the photon that result from the transition of an electron between different energy level in the hydrogen atom a described by bohr 's model the energy of this photon be in absolute value equal to the difference δe in internal energy of the two energy level involve and can be express use einstein 's light quantisation a where h be the planck constant and c be the speed of light in vacuum 6 the difference in internal energy can also be express in term of the energy of initial and final energy level the energy of these state can be write a the sum of their potential energy pe and kinetic energy ke and where e be the charge of the electron r be the radius of the atomic orbit me be the mass of the electron and v be it velocity 5 substitute bohr 's radius and the speed of the orbit electron see equation 11 and 12 in appendix into equation 6 the energy can be express a where n represent the initial energy level similarly the same result can be found for the final energy with p represent the final energy level the difference in internal energy can now be write a equate equation 5 and 10 rydberg 's formula can be write a therefore the rydberg 's constant can be write a the set-up of the spectrometer use in this experiment be show in fig 3. after focus the eyepiece on the crosswire at roughly 30 centimetre to avoid eye strain we focus the camera lens of the optical spectrometer on an object distant nearly 10 metre which be a good approximation of focus on infinity we then position the lamp close to the slit to adjust the focus of the collimator and clamped the telescope at 90° to be able to put the grate at exactly 45° use a mirror for this experiment we use a diffraction grate with 300 slit to minimise systematic error we make sure that all the component be well align use a sodium lamp that unlike the hydrogen lamp do not need to be turn off often to avoid overheat to be able to see the spectrum clearly we kept our desk lamp off for the entire duration of the experiment for the experiment we use a hydrogen gas-discharge lamp a the source of light we turn it off between measurement to avoid overheat we first measure the width of the central maximum a a reference value for the width of the spectral line to be approximately 4 we then take two measurement of angular position relative to the central maximum for each colour band we be able to see position the crosswire approximately on the centre of the fringe the error on these reading due to the difficulty to clearly identify the centre of very dim fringe be estimate to be 1 the error on the reading on the vernier scale of the spectrometer be of 1 we plot the sine of the measure angular position against the order number of the fringe for each of the colour observe red blue and violet we verify that for every colour the relationship between the two variable follow the linear correlation expect a show if fig 4. we be able to see three order of line for the red and blue light but only two for the violet one the three line meet in a common point that corresponds to the central maximum namely the 0 th order the error on the fit line for the three colour show in fig 3 be express in table 1. the error on the single data point be calculate consider the error on the reading on the vernier scale and the estimate error on the position of the centre of the fringe these error on the fitting line be calculate use the covariance matrix use equation 3 in the form where d be the separation between two consecutive slit and we calculate wavelength for the three set of line observe the value obtain for the wavelength and the correspond fundamental quantum number of the initial energy level be set out in table 2. the value for the fundamental quantum number n represent the initial energy level be obtain from the know value correspond to the wavelength measure 1 use equation 4 we calculate a value for the rydberg constant for each of the colour know that the fundamental quantum number p correspond to the energy level to which the electron drop be 2 for the three case 1 take the average of the three value calculate for the constant we obtain our final result of 1.099•10 7 m -1 with an error of 3•10 4 m -1 this error arises from the error calculate on the three individual value that depend on the limitation of the equipment our ability to identify the centre of the line and on the precision of the fit function all the error be determine use the standard formula of error analysis 8 this report review the process involve in calculate rydberg 's constant with small systematic error observe with a spectrometer the spectral line generate by a hydrogen lamp and measure their angular position relative to the central maximum plot these measurement against the order number of the colour band we obtain a value for the wavelength of the different colour use the wavelength value we be able to determine the fundamental quantum number of the orbital involve in the emission of light by compare our result with the know value for the hydrogen atom energy level finally we use rydberg 's formula and obtain a mean value of 1.099•10 7 m -1 for the rydberg constant this result agrees with the accepted value of 1.097•10 7 m -1 1 which lie within our error range to minimise systematic error the alignment of the component of the equipment be carefully set up and the influence of background illumination reduce a much a possible a it cause the line to be difficult to observe other possible source of error we identify be the dimness of high order spectral line the possible defocus of the equipment and random error that could be reduce by take more measurement the experiment present in this report could be extend by use different light source to verify the rydberg formula for other element rather than hydrogen appendix bohr 's radius 𝑟 0 𝜀 0 ℎ 𝜋𝑚 𝑒 𝑒 2 11 where 𝜀 0 be the permittivity of free space ℎ be planck 's constant 𝑚 𝑒 be the mass of the electron and e it mass 5 speed of the orbit electron in bohr 's model for a hydrogen atom,superficial,bal,,,
