,StudentID,Content,ArgumentLevel,ReasoningLevel
0,2ndINT_MHH822_Redacted,a michelson interferometer be built and use to analyze a laser led a tungsten lamp and a mercury lamp the movement of mirror close to the null point allow for the use of the michelson interferometer a a spectrometer use a silicon pin photodiode detector and measurement program operating on linus o inteferograms be produce fourier transform with method detailed be use to find wavelength the property of the light source be found and discuss white light source be usually found to have shorter coherence length than colour source due to frequency superposition the tungsten lamp exhibit a black-body emission spectrum with a calculate operating temperature of 3420±40k through comparison with expect result and far data limitation in apparatus be discover and where appropriate correct for mercury lamp data displayed a large amount of noise in the reading and thus the detector use be deem unsuitable for the analysis of this emission i nvented in 1880 the michelson interferometer have form an integral part of many scientific discovery and discipline include special relativity spectroscopy and interferometry 1 the simple set up allows for record of the interference of electromagnetic wave a single light source be input and the beam split use a beamsplitter this be follow by beam recombination with the use of two mirror at the detector the movement of one of the two mirror adjusts the path difference between the two light beam this creates interference pattern from which conclusion can be drawn about the source and it constituent frequency a michelson interferometer be built and use to analyze four different type of light source with vary filter these include a green laser two led a mercury lamp and a tungsten lamp the filter use be green and yellow the variation in light production technique and coherence among source allow for analysis of the suitability of this interferometer for different situation a schematic of a michelson interferometer be show in fig 1. when a beam of light be incident on a beamsplitter it be split into two separate beam one reflect one transmit the reflect beam a travel to mirror m1 and back and the transmit beam b travel to mirror m2 and back for the extend source use in this investigation the interference pattern be dependent on the angle θ between the incoming fig 1 a michelson interferometer m1 and m2 be mirror m2 represent equivalent position of m2 in a parallel setup d be the distance between the beamsplitter and closest mirror and t be difference in parallel position of the mirror 2 p.4 ray and the optical axis through basic trigonometric manipulation it can be see that difference in path length φ of the two beam be where t be the difference in length of the interferometer arm a show this path difference cause interference upon beam recombination the principle of linear superposition state constructive interference occurs when φ be an integer multiple of wavelength and complete destructive interference occurs when φ be an integer plus a half wavelength the interference pattern vary with orientation of the mirror if m1 and m2 be at perfect right angle concentric circular ring call haidinger fringe will be see if they be not at right angle symmetry will be broken and straight bright line of uniform thickness form call frizeau fringe the interferometer may be use a a spectrometer when the distance between the two mirror be approximately equal the null point when use monochromatic light this be see a haidinger fringe reduce to a singularity 3 by take measurement close to the null point the coherence length l of a source may be see on an interferogram though a precise definition of coherence length be not give this be the length over which one arm of the michelson interferometer may be scan before the contrast of the interferogram becomes poor the spectral width ∆ν of the source be a measure of the range of frequency emit by the source and be where c be the speed of light and l be in metre spectral width be measure in hz 2 wavelength can be found by fourier transform of the interferogram an electromagnetic wave with electric field strength e may be express in the form where r be the position vector ω be angular frequency and t be time k be the wave vector whose modulus be 2πν where ν be inverse wavelength or wavenumber use euler 's identity the time dependant part of this function may be represent a a summation of trignometric function ie the potential for representation of any function use sine and cosine allows for fourier transform 4 the shape of an interferogram be dependant on the frequency present and the amplitude or intensity of each frequency the intensity of a signal be proportional to the square of it amplitude the interferogram contains all physical information about a wave fourier transform be use to make interferograms directly interpretable though provide no extra information a fourier transform f ω of the interferogram function in the time domain f t be use to represent data in the frequency domain these two function form a fourier transform pair and be related by this fourier transform return both positive and negative frequency the negative frequency be due to contribution from the imaginary part of the wave take an inverse function of positive frequency reconstructs the original wavelength spectrum fourier transform be carry out on a computer use summation over a large but finite number of point n 5 an interferometer be built follow the configuration in fig 1. the two mirror use be a manually adjust kinematic mirror and a motorize mirror adjust through input command in the linus terminal a thorlab 30 mm cage cube-mounted non-polarizing beamsplitter be use manufacturer specification describe a dielectric anti-reflective coat apply face with a great transmission tolerance to wavelength in the 400 -700 nm range the dielectric coat cause a phase change for one beam lead to destructive interference at zero path difference and constructive interference when λ 2 6 the silicon pin photodiode dectector use have a detection range of 400 -1100nm 7 light source be mount on a v-clamp depend on the intensity of the light source plano-convex lens of focal length 24.5 and 100.0mm be insert between source and beamsplitter to widen beam and between beamsplitter and detector to refocus the alignment of the interferometer be checked and adjust use green laser light point beam be project onto a screen place in front of the detector and the kinematic mirror move until fizeau fringe be see a magnify lens be then insert and the motorize mirror adjust until a minimum of haidinger fringe be see a white light source be then insert and an interferogram take the peak of this interferogram be indicative of a null point at the position −0.6663 ± 0.0005mm and all subsequent data be take in a 100µm range about this point the velocity of the motorize mirror be set to 0.5µms −1 theoretical calculation use the nyquist theorem 4 of the minimum speed imply a much great speed may be use however a the oscillation record by the interferogram do not form perfect sine wave many more than two data point per oscillation be necessary to ensure complete information the velocity of the mirror be also slow to reduce beating between frequency present beating be a result of the superposition of the two interference pattern this beating form an envelop function that corrupt the data follow collection of data interferograms be plot and gaussian fit overlaid the coherence length be deduce to be roughly equal to the full width half maximum of the gaussian curve and from this spectral width calculate where appropriate mean wavelength be found use a similar gaussian-overlay method on the fourier transform and estimate the mean value in case where this be not possible a value be estimate use visual approximation fourier transform spectroscopy approximates light source a point source in many case this be a good approximation however it would be beneficial to insert a small aperture between the source and the beamsplitter fig 2 show an example interferogram table 1 show key result relate to property of light source error be usually calculate through visual estimation of goodness of fit where wavelength be a single value this be the mean wavelength take at peak spectral intensity and error be the standard deviation approximate through a gaussian fit for the blue lead it be possible to computationally fit a gaussian function this produce a covarence matrix from which error parameter be found where wavelength be a range of value this be the range over which there be high spectral intensity error on the coherence length of the white lead be high due to the presence of a secondary gaussian envelope function on the interferogram error on the coherence length of unfiltered tungsten be high due minimal peak in the secondary gaussian lead to highly subjective fitting of the gaussian overlay the coherence length for the mercury lamp be not present due to excessive noise in data no data be take for unfiltered mercury this would be beneficial a a comparative tool the range of wavelength detect whilst use green and yellow filter on the tungsten and mercury lamp be surpasses what be expect for the respective light range despite this clear cut off frequency be demonstrate by the sharp depreciation in spectral intensity at the edge of the allow range a show in fig 4. far discussion on filter be in present in section 4b the white lead exhibit two peak of wavelength a show in fig 3 with wavelength document in table 1. this be indicative of the lead be make up of a monochromatic light source and fluorescent phosphorous coat the agreement of wavelength within range of error of the blue peak of the white lead and the blue lead imply similar source be use when look at the white lead the light emit be obviously non-uniform imply vary thickness in the phosphorus coat a ground glass diffuser be add between the source and beamsplitter in an attempt to minimize this inconsistency and blend frequency despite this when compare interferograms of the light with and without the diffuser no significant change be see it would be beneficial to reduce the aperture of the incident white light use a pin hole to ensure uniformity the coherence length of colour source be see to be large than for white light in most case this be due to the extensive superposition of multiple wave of different frequency a show by large spectral width for white light source many frequency be superimpose to contribute to the final pulse on the interferogram a the number of contribute frequency to a source tends to infinity the resultant pulse of intensity in the time domain narrow the tungsten lamp produce a black body emission spectrum partially show in fig 5 with a peak at 845 ± 10nm use wien 's displacement law where t be absolute temperature of the source the temperature of the tungsten lamp be found to be 3420 ± 40k this value be outside the range expect 2500 -3300 k however it be important to note that the nature of emission of a blackbody mean wavelength deep into the infrared will be emit and will give rise to intensity peak outside of the detector 's sensitivity so this peak in intensity in the visible zone should be treat with some skepticism 8 the majority of discharge of a mercury lamp be in the ultraviolet zone 10 and thus not picked up by the detector this be due to the de-excitation of electron from quantize energy level cause highly energetic photon emission emission in the visible zone be weak and thus highly susceptible to noise when record this be demonstrate by fig 4a data take for mercury be include however should be treat with caution for this reason the expect presence of a doublet under the cut of frequency be demonstrate by sharp decrease in spectral intensity however be different to those expect from manufacturer specification 9 yellow filter be not distinguishable a more sensitive detector be necessary for accurate analysis of mercury emission for low input velocity of the motorize mirror the motion of the mirror be not constant a the input velocity use be 0.5µs −1 the expect positional change between sample be 0.001µm through analysis of a data set of 43422 measurement the mean positional deviation be found to be 1.02 ± 0.64 × 10 −2 µm the error on this result be the standard deviation in addition to this large standard deviation the stage do not move between reading in 4.46 of case this lack of movement demonstrates the lack of suitability of the motorize mirror extensive analysis of light source the inconsistent motion of the mirror may have result in false peak of spectral intensity the beamsplitter use be coat in an anti-reflection coat state to transmit between 40 and 55 of incident light in the wavelength range 400-700nm below this range percentage transmission decay exponentially however above there be a gradual roughly linear decrease the lack of equality between reflection and transmission of wave will effect interference pattern the resultant effect in the fourier transforms have be ignore however quantify resultant error would be beneficial the spectral sensitivity s of the detector be a function of wavelength this lead to a skewed weight and bias towards longer wavelength in the final wavelength fourier transforms of the interferograms through manual fitting of the manufacturer publish graph of spectral sensitivity against wavelength 7 it be possible to approximate the function to where f w be an inverse quadratic function of wavelength w the technique use to fit the curve be estimate through visual analysis to have an error of ±5 by multiply the fourier transform wavelength spectrum by this function intensity be alter to demonstrate 'true experimental situation this be demonstrate in fig 3 where fig 3a be the spectral intensity prior to correction and fig 3b be the spectral intensity after the large range of wavelength show in fig 4 for both the mercury and tungsten lamp be not wholly indicative of the presence of a yellow filter the filter use be thorlab uv/vis bandpass laser line filter the manufacturer specification state a tolerance of 500 − 590 ± 2nm for yellow light the rejection of wavelength outside this range be state to be 99.9 the state lifetime of the filter be two year due to break down of a component dielectric 9 far information be require on the age of the filter to determine the extent this contributes to error in result v. conclusion a michelson interferometer have be create use standard laboratory equipment various light source have be analyze and equipment suitability assess for this line of investigation whilst high quality interferograms have be create and use to find wavelength coherence length and spectral width of light high error be present limitation in various apparatus affect result and reduce precision the filter use have a great tolerance than expect and the motorize mirror have inconstant motion for the mercury lamp weak emission in the range of visible light result in error too great for exact analysis coherence length have be found to be great for colour light source and the reason understood in the majority of case emission have reflect know result within boundary of error far investigation should be undertaken with more suit equipment to fully ass inaccuracy approximation in calculation of wavelength should be far minimize and a wider range of light source and filter analyze,prediction,the
1,2ndINT_GYI981_Redacted,firstly from the interferogram produce from tlte white lead show in figure 7 it be possible to find the null point compare this to the simulated interferogram in figure 6 it be of a similar shape and symmetly just with more fringe the cenfl•e of this graph and hence the position of the null point of the interferometer lie at -2.872±0.0005mm a gaussian be fit to each of the peak in the spectrum the first one centi•ed at 450nm coll'esponds to the light from the blue lead and the second one centre at 585nm coll'esponds to the mixture of wavelength emit from the phosphor compare this to the theoretical spectrum in figure 3 the position of the spectrum be accurate however the relative intensity of the peak be unexpected this however be a direct result of the responsivity of the silicon detector this be it effectiveness at produce an electi•ic signal at different wavelength this varies with each detector but in general be high for large wavelength a show in figure 9 the aim of this experiment be to use a michelson interferometer a a fourier transform spectrometer in order to obtain and compare spectrum of different light source the interferometer be successful in obtain fairly accurate spectrum for each source and the characteristic of each spectrum i.e mean wavelength and spectral width varied in agreement with the theory the second aspect of this experiment be to show how light filter change the shape of the light spectrum and how the bandwidth of the filter change the spectral width both the blue and yellow filter create a large decrease in the spectral width of the tungsten spectrum and shift the peak accordingly to the wavelength that align with their colour,deep,bal
2,2ndINT_MFR246_Redacted,we carry out fourier transform spectroscopy on four different light source a white and blue lead a tungsten filament lamp and a mercury vapor lamp the white lead source give a frequency profile similar to the know distribution for a white phosphor lead there be an overlap of 520 − 540𝑛𝑚 between the fourier plot and establish literature value for green light use the green filter and 560 − 590𝑛𝑚 for yellow light use the yellow filter,superficial,bal
3,2ndINT_CTW087_Redacted,overall the result of this experiment be quite successful the observe wavelength profile match the theory quite well all of the predict feature of the profile their shape and peak wavelength 478.9 nm for the blue lead and 551.2 nm for the green filter tungsten lamp certain improvement such a add a diffusion lamp to mix light be make during the experiment but other source of error such a the defective equipment be somewhat unavoidable perhaps the only disappoint aspect of the experiment be that the expect and measure wavelength diagreed somewhat negate the precision of interferometry a a measurement tool,expert,bal
4,2ndINT_HBQ145_Redacted,the aim of the experiment be to set-up and use a michelson interferometer to obtain interferograms of null point of various light source and use fourier transforms to show the constituent wavelength of light emit from the source the blue lead have a very symmetrical null point signal the gaussian fit to the fourier transform data place the peak wavelength at 480 ± 20 nm within the blue regime of the visible spectrum the white light have a more asymmetric null point the spectrum of which span the visible spectrum with two large peak the two peak of light be thought to give rise to the asymmetry of the null point the tungsten source spectrum be expect to be that reminiscent of a black body however due to the spectral sensitivity of the detector infrared light be lose cut the spectrum short this experiment could be improve in the follow way firstly far analysis of null point could be do for example the coherence length of the source can be estimate by measure the width of the null point envelope from this spectral width of the gaussians could be found to far characterise the light source,deep,none
5,2ndINT_YZI659_Redacted,in this section the graph and fit of each different light source will be show displayed first be be the graph for the blue lead figure 7 show that a white lead be comprise of two distinct wavelength of λ 1 445.3nm and λ 2 562.8nm with spread of 10.4nm and 55.5nm respectively the graph see at the end of the next page be those of the tungsten lamp first with a yellow filter and second with a green filter the different peak wavelength highlight in the mercury plot can be see displayed in the table below v. discussion the first source that be test be the blue lead a can be see in the section before it have a peak wavelength of 470.1±8.6 nm a true blue phosphor lead have a wavelength of 470nm so the measure value be accurate with the expect value and also precise with an error of 1.8 it can be see in figure 6 that there be only one sharp spike in the wavelength spectrum indicate that this be the only wavelength present in the source this be what would be expect from a blue lead the aim of this report be to use the technique of interferometry and fourier transforms to measure and categorise light source use the interferometer a a spectrometer the light source that be test be a blue and a white lead a tungsten source with green and yellow filter and a mercury discharge lamp it be measure that the blue light have a wavelength of 470.1 ± 8.6 nm which be accurate with the value of the wavelength of a blue lead which be 470nm the next source test be white lead which have two peak of 445.3 ± 10.4 nm and 562.8 ± 55.5 nm respectively this translates to a peak in the blue and red part of the visible spectrum which be consistent with how white led be form the tungsten source have peak wavelength of 572.4 ± 30.6 nm for the yellow filter and 539.9 ± 23.1 nm for the green filter light these peak be less define a the set up be not properly align which lead to there be a dip in the middle of the spectrum cause it to look like two separate peak the final source test be a mercury discharge lamp this have peak at 433.8 ± 20.6 nm and 547.9 ± 31.8 nm with a doublet value of 568.5 ± 1.1 nm,superficial,bal
6,2ndINT_BSS487_Redacted,w ith a mercury lamp and a green filter in place data be take and wavelength analysis be perform due to the stability of the mercury source this wavelength should be very consistent however a see in figure 10 it be not it appear to oscillate this oscillation in wavelength occurs due to the fact that the motor can not move in even step from this spread we can find an error in measurement of the other source due to inconsistency of the motor two white light source be analyse average wavelength and spectral width be found for each for the white lead the average wavelength be found to be 675±46nm and the spectral width found to be 60.4±3.3nm the incandescent tungsten source be found to have a wavelength of 1116±22nm and a spectral width of 158±11nm the error be in reality much large due to error in position of the motorise mirror meaning that the value be inaccurate the wavelength be evaluate both with and without fourier analysis both give drastically different value and the fourier be discount due to the fact that the spectrum produce by it for tungsten be a bad approximation of blackbody radiation,expert,the
7,2ndINT_RAK801_Redacted,a show in figure 21331 the spike occurs at the null point where t 0. the null point be found to be 2.40816 ± 0.00002 mm and the uncertainty in position be determine by visualling zoom in the interferogram the range of distance be narrow down close to the null point and the interferogram for white lead obtain be a show in figure 9 the blue lead produce a broader interferogram than the white lead with a peak wavelength of … a show in figure 10 table i show the feature of the interferograms that be study without perform fft along with it uncertainty in this experiment we construct a michelson interferometer from scratch and align it with a green laser diode this be proceed with find the null point use white light interference we produce interferograms of different light source such a blue lead tungsten white light source a well a the tungsten source with a yellow filter the interferograms be study and it be conclude that the broader the interferogram the narrower the spectral line and ∆λ a few issue encounter throughout this experiment a this be a highly sensitive instrument in the process of take data the point on the graph look to be discrete and background noise affected the data which result in readjustment of the gain a well a realignment of the beamsplitter we be also unable to proceed with perform fft on each of the interferograms a there be a problem with the code provide a few suggestion for improvement for this experiment would be to use well light source such a light source with high intensity so that the data would not be affected by background noise,deep,the
8,2ndINT_NQR167_Redacted,"during the experiment it be ensure that the lid cover the apparatus therefore background radiation be reduce prevent the disturbance of the contrast of the fringe it be ensure that the laser beam be level and parallel to the table 's surface use the magnetic ruler to adjust the height the tube be use to make sure the apparatus be exactly at right angle to the board to prevent any systematic error from appear the screwdriver be use to tighten the bolt on the fitting to avoid any disturbance of the equipment use the tilt of one of the mirror be adjust to ensure that the laser spot from the two arm of the interferometer be directly on top of each other at the output plane for the fringe to appear moreover when the pattern on the interferogram observe be not clear two lens be use one to expand the laser beam into a broaden source and another to image the laser onto the card additionally when the image of the interference be not clear the rate of move from one sample measurement to another be reduce so that a clearer image be observe the estimate value of the mean wavelength for each light source be compatible because they fell into the wavelength range of their respective colour in light 's visible spectrum the spectral width value calculate be meaningful because their associate uncertainty be small the spectral width of white light be the large because it have a large spread of component frequency lead to a large error on the mean wavelength value of the white lead and the white tungsten source the aim of this experiment be to calculate the spectral width the coherence length and the mean wavelength of each of the four light source use the approximate value of the coherence length of the white lead the blue lead the white light tungsten source without the yellow filter and the tungsten source with the yellow filter fit inside be 199𝑛𝑚 ± 5 𝑛𝑚 16.0𝜇𝑚 ± 0.7 𝜇𝑚 201.1𝑛𝑚 ± 4.2𝑛𝑚 and 530𝑛𝑚 ± 9𝑛𝑚 respectively the calculate value of the spectral width of the white lead the blue lead the white light tungsten source without the filter and the tungsten source with the filter be 287𝑛𝑚 ± 7𝑛𝑚 2.4𝑛𝑚 ± 0.1𝑛𝑚,266.0𝑛𝑚 ± 5.6𝑛𝑚 and 102𝑛𝑚 ± 2𝑛𝑚 respectively the estimate value of the mean wavelength of the white lead the blue lead the white light tungsten source without the filter and the tungsten source with the yellow filter be 599𝑛𝑚 ± 287𝑛𝑚 487.1𝑛𝑚 ± 2.4𝑛𝑚 580𝑛𝑚 ± 266𝑛𝑚 𝑎𝑛𝑑 583𝑛𝑚 ± 102𝑛𝑚 respectively the mean value of wavelength obtain for each light source be reconcilable because they fell into the wavelength range of their correspond colour in the visible spectrum of light 𝜎 ∆𝑓 ∆𝑓√",extended,exp
9,2ndINT_GTD911_Redacted,firstly we look at the output when the interferogram of the green laser be take a show in figure 9a the output be a expect series of area of low and high intensity in a sinusoidal pattern this corresponds to the destructive and constructive interference of the two beam at the photodetector the signal be not gaussian at first because the null point be not found yet a this be only to make u get use to the data handle next we consider the null point of the interferogram a show in figure 9b the spike occurs when the all the wavelength of the white light lead interfere constructively at the null point i b the 'spike signifies the null point a the wave interfere constructively we investigate different light source by the mean of a michelson interferometer the interferometer be set up from the scratch use the part give and align use a laser the null point of the interferometer be determine use white light interference we record the interferograms of a white lead a blue lead a white light tungsten source and the tungsten with a yellow filter the interferograms be study and we perform fast fourier transform which decompose the interferograms into their spectral distribution they all signify that a broad spectrum of wavelength of light will produce broad interferograms,extended,the
